"Composite List",,,,,,,,,,,,,,,,
"Well position in plate","Cocktail #","Commercial Code","Chemical Additive","Chemical Formula",Concentration,"Chemical Additive",Concentration,pH,"Chemical Additive",Concentration,"Chemical Additive",Concentration,,,,
325,17_C0118,"HR Ionic Liquid 22","Tetrabutylphosphonium bromide",C16H36BrP,"5% (w/v)",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
329,17_C0119,"HR Ionic Liquid 23","Triisobutylmethylphosphonium tosylate",C20H37O3PS,"5% (w/v)",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
333,17_C0120,"HR Ionic Liquid 24","1-Butylpyridinium chloride",C9H14ClN,"5% (w/v)",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
481,17_C0121,"HR Ionic Liquid 1","Tetraethylammonium bromide",C8H20BrN,"5% (w/v)",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
485,17_C0122,"HR Ionic Liquid 2","Benzyltriethylammonium chloride",C13H22ClN,"5% (w/v)",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
489,17_C0123,"HR Ionic Liquid 3","2-Hydroxyethylammonium formate",C3H9NO3,"5% (w/v)",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
493,17_C0124,"HR Ionic Liquid 4","Ethylammonium nitrate",C2H8N2O3,"5% (w/v)",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
497,17_C0125,"HR Ionic Liquid 5","Cholin acetate",C7H17NO3,"5% (w/v)",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
501,17_C0126,"HR Ionic Liquid 6","Choline dihydrogen phosphate",C5H16NPO5,"5% (w/v)",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
505,17_C0127,"HR Ionic Liquid 7","1-Ethyl-3-methylimidazolium acetate",C8H14N2O2,"5% (w/v)",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
509,17_C0128,"HR Ionic Liquid 8","1-Butyl-3-methylimidazolium chloride",C8H15ClN2,"5% (w/v)",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
513,17_C0129,"HR Ionic Liquid 9","1-Ethyl-3-methylimidazolium chloride",C6H11ClN2,"5% (w/v)",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
517,17_C0130,"HR Ionic Liquid 10","1-Hexyl-3-methylimidazolium chloride",C10H19ClN2,"5% (w/v)",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
521,17_C0131,"HR Ionic Liquid 11","1-Butyl-3-methylimidazolium dicyanamide",C10H15N5,"5% (w/v)",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
525,17_C0132,"HR Ionic Liquid 12","1,3-Dimethylimidazolium dimethyl phosphate",C7H15N2O4P,"5% (w/v)",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
673,17_C0133,"HR Ionic Liquid 13","1,3-Dimethylimidazolium methyl sulfate",C6H12N2O4S,"5% (w/v)",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
677,17_C0134,"HR Ionic Liquid 14","1-Butyl-3-methylimidazolium methyl sulfate",C9H18N2O4S,"5% (w/v)",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
681,17_C0135,"HR Ionic Liquid 15","1-n-Butyl-3-methylimidazolium n-octylsulfate",C16H32N2O4S,"5% (w/v)",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
685,17_C0136,"HR Ionic Liquid 16","1-Ethyl-3-methylimidazolium ethyl sulfate",C8H16N2O4S,"5% (w/v)",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
689,17_C0137,"HR Ionic Liquid 17","1-Ethyl-3-methylimidazolium tetrafluoroborate",C6H11BF4N2,"5% (w/v)",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
693,17_C0138,"HR Ionic Liquid 18","1-Butyl-2,3-dimethylimidazolium tetrafluoroborate",C9H17BF4N2,"5% (w/v)",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
697,17_C0139,"HR Ionic Liquid 19","1-Butyl-3-methylimidazolium tetrafluoroborate",C8H15BF4N2,"5% (w/v)",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
701,17_C0140,"HR Ionic Liquid 20","1-Butyl-3-methylimidazolium trifluoroacetate",C10H15F3N2O2,"5% (w/v)",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
705,17_C0141,"HR Ionic Liquid 21","1-Ethyl-3-methylimidazolium trifluoromethanesulfonate",C7H11F3N2O3S,"5% (w/v)",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
709,17_C0142,"HR Ionic Liquid 22","Tetrabutylphosphonium bromide",C16H36BrP,"5% (w/v)",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
713,17_C0143,"HR Ionic Liquid 23","Triisobutylmethylphosphonium tosylate",C20H37O3PS,"5% (w/v)",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
717,17_C0144,"HR Ionic Liquid 24","1-Butylpyridinium chloride",C9H14ClN,"5% (w/v)",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
865,17_C0145,"HR Ionic Liquid 1","Tetraethylammonium bromide",C8H20BrN,"5% (w/v)","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
869,17_C0146,"HR Ionic Liquid 2","Benzyltriethylammonium chloride",C13H22ClN,"5% (w/v)","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
873,17_C0147,"HR Ionic Liquid 3","2-Hydroxyethylammonium formate",C3H9NO3,"5% (w/v)","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
877,17_C0148,"HR Ionic Liquid 4"," Ethylammonium nitrate",C2H8N2O3,"5% (w/v)","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
881,17_C0149,"HR Ionic Liquid 5","Cholin acetate",C7H17NO3,"5% (w/v)","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
885,17_C0150,"HR Ionic Liquid 6","Choline dihydrogen phosphate",C5H16NPO5,"5% (w/v)","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
889,17_C0151,"HR Ionic Liquid 7","1-Ethyl-3-methylimidazolium acetate",C8H14N2O2,"5% (w/v)","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
893,17_C0152,"HR Ionic Liquid 8","1-Butyl-3-methylimidazolium chloride",C8H15ClN2,"5% (w/v)","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
897,17_C0153,"HR Ionic Liquid 9","1-Ethyl-3-methylimidazolium chloride",C6H11ClN2,"5% (w/v)","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
901,17_C0154,"HR Ionic Liquid 10","1-Hexyl-3-methylimidazolium chloride",C10H19ClN2,"5% (w/v)","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
905,17_C0155,"HR Ionic Liquid 11","1-Butyl-3-methylimidazolium dicyanamide",C10H15N5,"5% (w/v)","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
909,17_C0156,"HR Ionic Liquid 12","1,3-Dimethylimidazolium dimethyl phosphate",C7H15N2O4P,"5% (w/v)","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
1057,17_C0157,"HR Ionic Liquid 13","1,3-Dimethylimidazolium methyl sulfate",C6H12N2O4S,"5% (w/v)","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
1061,17_C0158,"HR Ionic Liquid 14","1-Butyl-3-methylimidazolium methyl sulfate",C9H18N2O4S,"5% (w/v)","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
1065,17_C0159,"HR Ionic Liquid 15","1-n-Butyl-3-methylimidazolium n-octylsulfate",C16H32N2O4S,"5% (w/v)","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
1069,17_C0160,"HR Ionic Liquid 16","1-Ethyl-3-methylimidazolium ethyl sulfate",C8H16N2O4S,"5% (w/v)","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
1073,17_C0161,"HR Ionic Liquid 17","1-Ethyl-3-methylimidazolium tetrafluoroborate",C6H11BF4N2,"5% (w/v)","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
1077,17_C0162,"HR Ionic Liquid 18","1-Butyl-2,3-dimethylimidazolium tetrafluoroborate",C9H17BF4N2,"5% (w/v)","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
1081,17_C0163,"HR Ionic Liquid 19","1-Butyl-3-methylimidazolium tetrafluoroborate",C8H15BF4N2,"5% (w/v)","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
1085,17_C0164,"HR Ionic Liquid 20","1-Butyl-3-methylimidazolium trifluoroacetate",C10H15F3N2O2,"5% (w/v)","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
1089,17_C0165,"HR Ionic Liquid 21","1-Ethyl-3-methylimidazolium trifluoromethanesulfonate",C7H11F3N2O3S,"5% (w/v)","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
1093,17_C0166,"HR Ionic Liquid 22","Tetrabutylphosphonium bromide",C16H36BrP,"5% (w/v)","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
1097,17_C0167,"HR Ionic Liquid 23","Triisobutylmethylphosphonium tosylate",C20H37O3PS,"5% (w/v)","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
1101,17_C0168,"HR Ionic Liquid 24","1-Butylpyridinium chloride",C9H14ClN,"5% (w/v)","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
1249,17_C0169,"HR Ionic Liquid 1","Tetraethylammonium bromide",C8H20BrN,"5% (w/v)","Bis-Tris Propane","0.09 M",8.8,"PEG 3350","27% (w/v)",,,,,,
1253,17_C0170,"HR Ionic Liquid 2","Benzyltriethylammonium chloride",C13H22ClN,"5% (w/v)","Bis-Tris Propane","0.09 M",8.8,"PEG 3350","27% (w/v)",,,,,,
1257,17_C0171,"HR Ionic Liquid 3","2-Hydroxyethylammonium formate",C3H9NO3,"5% (w/v)","Bis-Tris Propane","0.09 M",8.8,"PEG 3350","27% (w/v)",,,,,,
1261,17_C0172,"HR Ionic Liquid 4","Ethylammonium nitrate",C2H8N2O3,"5% (w/v)","Bis-Tris Propane","0.09 M",8.8,"PEG 3350","27% (w/v)",,,,,,
1265,17_C0173,"HR Ionic Liquid 5","Cholin acetate",C7H17NO3,"5% (w/v)","Bis-Tris Propane","0.09 M",8.8,"PEG 3350","27% (w/v)",,,,,,
