"Composite List",,,,,,,,,,,,,,,,
"Well position in plate","Cocktail #","Commercial Code","Chemical Additive","Chemical Formula",Concentration,"Chemical Additive",Concentration,pH,"Chemical Additive",Concentration,"Chemical Additive",Concentration,,,,
965,13A_C0062,"HR Slice pH F2",,,,HEPES,"0.5 M",6.8,"PEG 3350","15% (w/v)",,,,,,
969,13A_C0063,"HR Slice pH F3",,,,HEPES,"0.5 M",7.1,"PEG 3350","15% (w/v)",,,,,,
973,13A_C0064,"HR Slice pH F4",,,,HEPES,"0.5 M",7.4,"PEG 3350","15% (w/v)",,,,,,
977,13A_C0065,"HR Slice pH F5",,,,HEPES,"0.5 M",7.7,"PEG 3350","15% (w/v)",,,,,,
981,13A_C0066,"HR Slice pH F6",,,,"TRIS hydrochloride","0.5 M",7.2,"PEG 3350","15% (w/v)",,,,,,
985,13A_C0067,"HR Slice pH F7",,,,"TRIS hydrochloride","0.5 M",7.5,"PEG 3350","15% (w/v)",,,,,,
989,13A_C0068,"HR Slice pH F8",,,,"TRIS hydrochloride","0.5 M",7.8,"PEG 3350","15% (w/v)",,,,,,
993,13A_C0069,"HR Slice pH F9",,,,"TRIS hydrochloride","0.5 M",8.1,"PEG 3350","15% (w/v)",,,,,,
997,13A_C0070,"HR Slice pH F10",,,,Tris,"0.5 M",7.3,"PEG 3350","15% (w/v)",,,,,,
1001,13A_C0071,"HR Slice pH F11",,,,Tris,"0.5 M",7.6,"PEG 3350","15% (w/v)",,,,,,
1005,13A_C0072,"HR Slice pH F12",,,,Tris,"0.5 M",7.9,"PEG 3350","15% (w/v)",,,,,,
1153,13A_C0073,"HR Slice pH G1",,,,Tris,"0.5 M",8.2,"PEG 3350","15% (w/v)",,,,,,
1157,13A_C0074,"HR Slice pH G2",,,,Tris,"0.5 M",8.5,"PEG 3350","15% (w/v)",,,,,,
1161,13A_C0075,"HR Slice pH G3",,,,Tricine,"0.5 M",7.4,"PEG 3350","15% (w/v)",,,,,,
1165,13A_C0076,"HR Slice pH G4",,,,Tricine,"0.5 M",7.7,"PEG 3350","15% (w/v)",,,,,,
1169,13A_C0077,"HR Slice pH G5",,,,Tricine,"0.5 M",8,"PEG 3350","15% (w/v)",,,,,,
1173,13A_C0078,"HR Slice pH G6",,,,Tricine,"0.5 M",8.3,"PEG 3350","15% (w/v)",,,,,,
1177,13A_C0079,"HR Slice pH G7",,,,Tricine,"0.5 M",8.6,"PEG 3350","15% (w/v)",,,,,,
1181,13A_C0080,"HR Slice pH G8",,,,BICINE,"0.5 M",7.5,"PEG 3350","15% (w/v)",,,,,,
1185,13A_C0081,"HR Slice pH G9",,,,BICINE,"0.5 M",7.8,"PEG 3350","15% (w/v)",,,,,,
1189,13A_C0082,"HR Slice pH G10",,,,BICINE,"0.5 M",8.1,"PEG 3350","15% (w/v)",,,,,,
1193,13A_C0083,"HR Slice pH G11",,,,BICINE,"0.5 M",8.4,"PEG 3350","15% (w/v)",,,,,,
1197,13A_C0084,"HR Slice pH G12",,,,BICINE,"0.5 M",8.7,"PEG 3350","15% (w/v)",,,,,,
1345,13A_C0085,"HR Slice pH H1",,,,"BIS-TRIS propane","0.5 M",8.5,"PEG 3350","15% (w/v)",,,,,,
1349,13A_C0086,"HR Slice pH H2",,,,"BIS-TRIS propane","0.5 M",8.8,"PEG 3350","15% (w/v)",,,,,,
1353,13A_C0087,"HR Slice pH H3",,,,"BIS-TRIS propane","0.5 M",9.1,"PEG 3350","15% (w/v)",,,,,,
1357,13A_C0088,"HR Slice pH H4",,,,"BIS-TRIS propane","0.5 M",9.4,"PEG 3350","15% (w/v)",,,,,,
1361,13A_C0089,"HR Slice pH H5",,,,Glycine,"0.5 M",8.6,"PEG 3350","15% (w/v)",,,,,,
1365,13A_C0090,"HR Slice pH H6",,,,Glycine,"0.5 M",8.9,"PEG 3350","15% (w/v)",,,,,,
1369,13A_C0091,"HR Slice pH H7",,,,Glycine,"0.5 M",9.2,"PEG 3350","15% (w/v)",,,,,,
1373,13A_C0092,"HR Slice pH H8",,,,Glycine,"0.5 M",9.5,"PEG 3350","15% (w/v)",,,,,,
1377,13A_C0093,"HR Slice pH H9",,,,AMPD,"0.5 M",8.7,"PEG 3350","15% (w/v)",,,,,,
1381,13A_C0094,"HR Slice pH H10",,,,AMPD,"0.5 M",9,"PEG 3350","15% (w/v)",,,,,,
1385,13A_C0095,"HR Slice pH H11",,,,AMPD,"0.5 M",9.3,"PEG 3350","15% (w/v)",,,,,,
1389,13A_C0096,"HR Slice pH H12",,,,AMPD,"0.5 M",9.6,"PEG 3350","15% (w/v)",,,,,,
97,13A_C0097,"HR Ionic Liquid 1","Tetraethylammonium bromide",C8H20BrN,"5% w/v",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
101,13A_C0098,"HR Ionic Liquid 2","Benzyltriethylammonium chloride",C13H22ClN,"5% w/v",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
105,13A_C0099,"HR Ionic Liquid 3","2-Hydroxyethylammonium formate",C3H9NO3,"5% w/v",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
109,13A_C0100,"HR Ionic Liquid 4","Ethylammonium nitrate",C2H8N2O3,"5% w/v",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
113,13A_C0101,"HR Ionic Liquid 5","Cholin acetate",C7H17NO3,"5% w/v",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
117,13A_C0102,"HR Ionic Liquid 6","Choline dihydrogen phosphate",C5H16NPO5,"5% w/v",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
121,13A_C0103,"HR Ionic Liquid 7","1-Ethyl-3-methylimidazolium acetate",C8H14N2O2,"5% w/v",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
125,13A_C0104,"HR Ionic Liquid 8","1-Butyl-3-methylimidazolium chloride",C8H15ClN2,"5% w/v",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
129,13A_C0105,"HR Ionic Liquid 9","1-Ethyl-3-methylimidazolium chloride",C6H11ClN2,"5% w/v",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
133,13A_C0106,"HR Ionic Liquid 10","1-Hexyl-3-methylimidazolium chloride",C10H19ClN2,"5% w/v",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
137,13A_C0107,"HR Ionic Liquid 11","1-Butyl-3-methylimidazolium dicyanamide",C10H15N5,"5% w/v",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
141,13A_C0108,"HR Ionic Liquid 12","1,3-Dimethylimidazolium dimethyl phosphate",C7H15N2O4P,"5% w/v",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
289,13A_C0109,"HR Ionic Liquid 13","1,3-Dimethylimidazolium methyl sulfate",C6H12N2O4S,"5% w/v",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
293,13A_C0110,"HR Ionic Liquid 14","1-Butyl-3-methylimidazolium methyl sulfate",C9H18N2O4S,"5% w/v",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
297,13A_C0111,"HR Ionic Liquid 15","1-n-Butyl-3-methylimidazolium n-octylsulfate",C16H32N2O4S,"5% w/v",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
301,13A_C0112,"HR Ionic Liquid 16","1-Ethyl-3-methylimidazolium ethyl sulfate",C8H16N2O4S,"5% w/v",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
305,13A_C0113,"HR Ionic Liquid 17","1-Ethyl-3-methylimidazolium tetrafluoroborate",C6H11BF4N2,"5% w/v",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
309,13A_C0114,"HR Ionic Liquid 18","1-Butyl-2,3-dimethylimidazolium tetrafluoroborate",C9H17BF4N2,"5% w/v",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
313,13A_C0115,"HR Ionic Liquid 19","1-Butyl-3-methylimidazolium tetrafluoroborate",C8H15BF4N2,"5% w/v",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
317,13A_C0116,"HR Ionic Liquid 20","1-Butyl-3-methylimidazolium trifluoroacetate",C10H15F3N2O2,"5% w/v",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
321,13A_C0117,"HR Ionic Liquid 21","1-Ethyl-3-methylimidazolium trifluoromethanesulfonate",C7H11F3N2O3S,"5% w/v",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
325,13A_C0118,"HR Ionic Liquid 22","Tetrabutylphosphonium bromide",C16H36BrP,"5% w/v",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
329,13A_C0119,"HR Ionic Liquid 23","Triisobutylmethylphosphonium tosylate",C20H37O3PS,"5% w/v",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
333,13A_C0120,"HR Ionic Liquid 24","1-Butylpyridinium chloride",C9H14ClN,"5% w/v",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
481,13A_C0121,"HR Ionic Liquid 1","Tetraethylammonium bromide",C8H20BrN,"5% w/v",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
485,13A_C0122,"HR Ionic Liquid 2","Benzyltriethylammonium chloride",C13H22ClN,"5% w/v",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
489,13A_C0123,"HR Ionic Liquid 3","2-Hydroxyethylammonium formate",C3H9NO3,"5% w/v",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
493,13A_C0124,"HR Ionic Liquid 4","Ethylammonium nitrate",C2H8N2O3,"5% w/v",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
497,13A_C0125,"HR Ionic Liquid 5","Cholin acetate",C7H17NO3,"5% w/v",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
501,13A_C0126,"HR Ionic Liquid 6","Choline dihydrogen phosphate",C5H16NPO5,"5% w/v",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
505,13A_C0127,"HR Ionic Liquid 7","1-Ethyl-3-methylimidazolium acetate",C8H14N2O2,"5% w/v",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
509,13A_C0128,"HR Ionic Liquid 8","1-Butyl-3-methylimidazolium chloride",C8H15ClN2,"5% w/v",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
513,13A_C0129,"HR Ionic Liquid 9","1-Ethyl-3-methylimidazolium chloride",C6H11ClN2,"5% w/v",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
517,13A_C0130,"HR Ionic Liquid 10","1-Hexyl-3-methylimidazolium chloride",C10H19ClN2,"5% w/v",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
521,13A_C0131,"HR Ionic Liquid 11","1-Butyl-3-methylimidazolium dicyanamide",C10H15N5,"5% w/v",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
525,13A_C0132,"HR Ionic Liquid 12","1,3-Dimethylimidazolium dimethyl phosphate",C7H15N2O4P,"5% w/v",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
673,13A_C0133,"HR Ionic Liquid 13","1,3-Dimethylimidazolium methyl sulfate",C6H12N2O4S,"5% w/v",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
677,13A_C0134,"HR Ionic Liquid 14","1-Butyl-3-methylimidazolium methyl sulfate",C9H18N2O4S,"5% w/v",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
681,13A_C0135,"HR Ionic Liquid 15","1-n-Butyl-3-methylimidazolium n-octylsulfate",C16H32N2O4S,"5% w/v",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
685,13A_C0136,"HR Ionic Liquid 16","1-Ethyl-3-methylimidazolium ethyl sulfate",C8H16N2O4S,"5% w/v",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
689,13A_C0137,"HR Ionic Liquid 17","1-Ethyl-3-methylimidazolium tetrafluoroborate",C6H11BF4N2,"5% w/v",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
693,13A_C0138,"HR Ionic Liquid 18","1-Butyl-2,3-dimethylimidazolium tetrafluoroborate",C9H17BF4N2,"5% w/v",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
697,13A_C0139,"HR Ionic Liquid 19","1-Butyl-3-methylimidazolium tetrafluoroborate",C8H15BF4N2,"5% w/v",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
701,13A_C0140,"HR Ionic Liquid 20","1-Butyl-3-methylimidazolium trifluoroacetate",C10H15F3N2O2,"5% w/v",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
705,13A_C0141,"HR Ionic Liquid 21","1-Ethyl-3-methylimidazolium trifluoromethanesulfonate",C7H11F3N2O3S,"5% w/v",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
709,13A_C0142,"HR Ionic Liquid 22","Tetrabutylphosphonium bromide",C16H36BrP,"5% w/v",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
713,13A_C0143,"HR Ionic Liquid 23","Triisobutylmethylphosphonium tosylate",C20H37O3PS,"5% w/v",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
717,13A_C0144,"HR Ionic Liquid 24","1-Butylpyridinium chloride",C9H14ClN,"5% w/v",HEPES,"0.09 M",6.8,"PEG 3350","27% (w/v)",,,,,,
865,13A_C0145,"HR Ionic Liquid 1","Tetraethylammonium bromide",C8H20BrN,"5% w/v","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
869,13A_C0146,"HR Ionic Liquid 2","Benzyltriethylammonium chloride",C13H22ClN,"5% w/v","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
873,13A_C0147,"HR Ionic Liquid 3","2-Hydroxyethylammonium formate",C3H9NO3,"5% w/v","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
877,13A_C0148,"HR Ionic Liquid 4"," Ethylammonium nitrate",C2H8N2O3,"5% w/v","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
881,13A_C0149,"HR Ionic Liquid 5","Cholin acetate",C7H17NO3,"5% w/v","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
885,13A_C0150,"HR Ionic Liquid 6","Choline dihydrogen phosphate",C5H16NPO5,"5% w/v","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
889,13A_C0151,"HR Ionic Liquid 7","1-Ethyl-3-methylimidazolium acetate",C8H14N2O2,"5% w/v","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
893,13A_C0152,"HR Ionic Liquid 8","1-Butyl-3-methylimidazolium chloride",C8H15ClN2,"5% w/v","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
897,13A_C0153,"HR Ionic Liquid 9","1-Ethyl-3-methylimidazolium chloride",C6H11ClN2,"5% w/v","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
901,13A_C0154,"HR Ionic Liquid 10","1-Hexyl-3-methylimidazolium chloride",C10H19ClN2,"5% w/v","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
905,13A_C0155,"HR Ionic Liquid 11","1-Butyl-3-methylimidazolium dicyanamide",C10H15N5,"5% w/v","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
909,13A_C0156,"HR Ionic Liquid 12","1,3-Dimethylimidazolium dimethyl phosphate",C7H15N2O4P,"5% w/v","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
1057,13A_C0157,"HR Ionic Liquid 13","1,3-Dimethylimidazolium methyl sulfate",C6H12N2O4S,"5% w/v","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
1061,13A_C0158,"HR Ionic Liquid 14","1-Butyl-3-methylimidazolium methyl sulfate",C9H18N2O4S,"5% w/v","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
1065,13A_C0159,"HR Ionic Liquid 15","1-n-Butyl-3-methylimidazolium n-octylsulfate",C16H32N2O4S,"5% w/v","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
1069,13A_C0160,"HR Ionic Liquid 16","1-Ethyl-3-methylimidazolium ethyl sulfate",C8H16N2O4S,"5% w/v","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
1073,13A_C0161,"HR Ionic Liquid 17","1-Ethyl-3-methylimidazolium tetrafluoroborate",C6H11BF4N2,"5% w/v","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
1077,13A_C0162,"HR Ionic Liquid 18","1-Butyl-2,3-dimethylimidazolium tetrafluoroborate",C9H17BF4N2,"5% w/v","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
1081,13A_C0163,"HR Ionic Liquid 19","1-Butyl-3-methylimidazolium tetrafluoroborate",C8H15BF4N2,"5% w/v","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
1085,13A_C0164,"HR Ionic Liquid 20","1-Butyl-3-methylimidazolium trifluoroacetate",C10H15F3N2O2,"5% w/v","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
1089,13A_C0165,"HR Ionic Liquid 21","1-Ethyl-3-methylimidazolium trifluoromethanesulfonate",C7H11F3N2O3S,"5% w/v","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
1093,13A_C0166,"HR Ionic Liquid 22","Tetrabutylphosphonium bromide",C16H36BrP,"5% w/v","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
1097,13A_C0167,"HR Ionic Liquid 23","Triisobutylmethylphosphonium tosylate",C20H37O3PS,"5% w/v","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
1101,13A_C0168,"HR Ionic Liquid 24","1-Butylpyridinium chloride",C9H14ClN,"5% w/v","Bis-Tris Propane","0.09 M",7.8,"PEG 3350","27% (w/v)",,,,,,
1249,13A_C0169,"HR Ionic Liquid 1","Tetraethylammonium bromide",C8H20BrN,"5% w/v","Bis-Tris Propane","0.09 M",8.8,"PEG 3350","27% (w/v)",,,,,,
1253,13A_C0170,"HR Ionic Liquid 2","Benzyltriethylammonium chloride",C13H22ClN,"5% w/v","Bis-Tris Propane","0.09 M",8.8,"PEG 3350","27% (w/v)",,,,,,
1257,13A_C0171,"HR Ionic Liquid 3","2-Hydroxyethylammonium formate",C3H9NO3,"5% w/v","Bis-Tris Propane","0.09 M",8.8,"PEG 3350","27% (w/v)",,,,,,
1261,13A_C0172,"HR Ionic Liquid 4","Ethylammonium nitrate",C2H8N2O3,"5% w/v","Bis-Tris Propane","0.09 M",8.8,"PEG 3350","27% (w/v)",,,,,,
1265,13A_C0173,"HR Ionic Liquid 5","Cholin acetate",C7H17NO3,"5% w/v","Bis-Tris Propane","0.09 M",8.8,"PEG 3350","27% (w/v)",,,,,,
