"Composite List",,,,,,,,,,,,,,,,
"Well position in plate","Cocktail #","Commercial Code","Chemical Additive","Chemical Formula",Concentration,"Chemical Additive",Concentration,pH,"Chemical Additive",Concentration,"Chemical Additive",Concentration,,,,
785,11_C0053,,"Lithium bromide",LiBr,5.6M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
789,11_C0054,,"Lithium bromide",LiBr,3.73M,MES,"0.1 M",6,,,,,,,,
793,11_C0055,,"Lithium bromide",LiBr,3.73M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
797,11_C0056,,"Lithium bromide",LiBr,1.87M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
801,11_C0057,,"Lithium bromide",LiBr,1.87M,Tris,"0.1 M",8,,,,,,,,
805,11_C0058,,"Lithium bromide",LiBr,1.87M,TAPS,"0.1 M",9,,,,,,,,
809,11_C0059,,"Lithium chloride",LiCl,6.62M,"Sodium Acetate","0.1 M",5,,,,,,,,
813,11_C0060,,"Lithium chloride",LiCl,6.62M,HEPES,"0.1 M",7.5,,,,,,,,
961,11_C0061,,"Lithium chloride",LiCl,6.62M,CAPS,"0.1 M",10,,,,,,,,
965,11_C0062,,"Lithium chloride",LiCl,4.42M,MES,"0.1 M",6,,,,,,,,
969,11_C0063,,"Lithium chloride",LiCl,4.42M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
973,11_C0064,,"Lithium chloride",LiCl,4.42M,Tris,"0.1 M",8,,,,,,,,
977,11_C0065,,"Lithium chloride",LiCl,2.21M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
981,11_C0066,,"Lithium chloride",LiCl,2.21M,TAPS,"0.1 M",9,,,,,,,,
985,11_C0067,,"Magnesium acetate",Mg(C2H3O2)2*4H2O,2.69M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
989,11_C0068,,"Magnesium acetate",Mg(C2H3O2)2*4H2O,2.69M,TAPS,"0.1 M",9,,,,,,,,
993,11_C0069,,"Magnesium acetate",Mg(C2H3O2)2*4H2O,1.79M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
997,11_C0070,,"Magnesium acetate",Mg(C2H3O2)2*4H2O,1.79M,MES,"0.1 M",6,,,,,,,,
1001,11_C0071,,"Magnesium acetate",Mg(C2H3O2)2*4H2O,1.79M,Tris,"0.1 M",8,,,,,,,,
1005,11_C0072,,"Magnesium acetate",Mg(C2H3O2)2*4H2O,0.9M,"Sodium Acetate","0.1 M",5,,,,,,,,
1153,11_C0073,,"Magnesium acetate",Mg(C2H3O2)2*4H2O,0.9M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
1157,11_C0074,,"Magnesium chloride hexahydrate",MgCl2*6H2O,3.73M,"Sodium Acetate","0.1 M",5,,,,,,,,
1161,11_C0075,,"Magnesium chloride hexahydrate",MgCl2*6H2O,3.73M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
1165,11_C0076,,"Magnesium chloride hexahydrate",MgCl2*6H2O,2.48M,HEPES,"0.1 M",7.5,,,,,,,,
1169,11_C0077,,"Magnesium chloride hexahydrate",MgCl2*6H2O,2.48M,Tris,"0.1 M",8,,,,,,,,
1173,11_C0078,,"Magnesium chloride hexahydrate",MgCl2*6H2O,1.24M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
1177,11_C0079,,"Magnesium chloride hexahydrate",MgCl2*6H2O,1.24M,MES,"0.1 M",6,,,,,,,,
1181,11_C0080,,"Magnesium chloride hexahydrate",MgCl2*6H2O,1.24M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
1185,11_C0081,,"Magnesium sulfate heptahydrate",MgSO4*7H2O,1.59M,TAPS,"0.1 M",9,,,,,,,,
1189,11_C0082,,"Magnesium sulfate heptahydrate",MgSO4*7H2O,1.59M,Tris,"0.1 M",8,,,,,,,,
1193,11_C0083,,"Magnesium sulfate heptahydrate",MgSO4*7H2O,1.06M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
1197,11_C0084,,"Magnesium sulfate heptahydrate",MgSO4*7H2O,0.53M,"Sodium Acetate","0.1 M",5,,,,,,,,
1345,11_C0085,,"Magnesium sulfate heptahydrate",MgSO4*7H2O,0.53M,HEPES,"0.1 M",7.5,,,,,,,,
1349,11_C0086,,"Magnesium sulfate heptahydrate",MgSO4*7H2O,0.53M,Tris,"0.1 M",8,,,,,,,,
1353,11_C0087,,"Manganese chloride tetrahydrate",MnCl2*4H2O,3.82M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
1357,11_C0088,,"Manganese chloride tetrahydrate",MnCl2*4H2O,3.82M,Tris,"0.1 M",8,,,,,,,,
1361,11_C0089,,"Manganese chloride tetrahydrate",MnCl2*4H2O,3.82M,"Sodium Acetate","0.1 M",5,,,,,,,,
1365,11_C0090,,"Manganese chloride tetrahydrate",MnCl2*4H2O,2.54M,"Sodium Acetate","0.1 M",5,,,,,,,,
1369,11_C0091,,"Manganese chloride tetrahydrate",MnCl2*4H2O,2.54M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
1373,11_C0092,,"Manganese chloride tetrahydrate",MnCl2*4H2O,1.27M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
1377,11_C0093,,"Manganese chloride tetrahydrate",MnCl2*4H2O,1.27M,"Sodium Acetate","0.1 M",5,,,,,,,,
1381,11_C0094,,"Potassium acetate",KC2H3O2,8.64M,Tris,"0.1 M",8,,,,,,,,
1385,11_C0095,,"Potassium acetate",KC2H3O2,8.64M,TAPS,"0.1 M",9,,,,,,,,
1389,11_C0096,,"Potassium acetate",KC2H3O2,5.76M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
97,11_C0097,,"Potassium acetate",KC2H3O2,5.76M,"Sodium Acetate","0.1 M",5,,,,,,,,
101,11_C0098,,"Potassium acetate",KC2H3O2,5.76M,HEPES,"0.1 M",7.5,,,,,,,,
105,11_C0099,,"Potassium acetate",KC2H3O2,2.88M,MES,"0.1 M",6,,,,,,,,
109,11_C0100,,"Potassium acetate",KC2H3O2,2.88M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
113,11_C0101,,"Potassium acetate",KC2H3O2,2.88M,CAPS,"0.1 M",10,,,,,,,,
117,11_C0102,,"Potassium bromide",KBr,4M,"Sodium Acetate","0.1 M",5,,,,,,,,
121,11_C0103,,"Potassium bromide",KBr,4M,Tris,"0.1 M",8,,,,,,,,
125,11_C0104,,"Potassium bromide",KBr,2.66M,MES,"0.1 M",6,,,,,,,,
129,11_C0105,,"Potassium bromide",KBr,2.66M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
133,11_C0106,,"Potassium bromide",KBr,2.66M,CAPS,"0.1 M",10,,,,,,,,
137,11_C0107,,"Potassium bromide",KBr,1.33M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
141,11_C0108,,"Potassium bromide",KBr,1.33M,HEPES,"0.1 M",7.5,,,,,,,,
289,11_C0109,,"Potassium bromide",KBr,1.33M,TAPS,"0.1 M",9,,,,,,,,
293,11_C0110,,"Potassium carbonate",K2CO3,2.54M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
297,11_C0111,,"Potassium carbonate",K2CO3,2.54M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
301,11_C0112,,"Potassium carbonate",K2CO3,2.54M,Tris,"0.1 M",8,,,,,,,,
305,11_C0113,,"Potassium carbonate",K2CO3,1.69M,"Sodium Acetate","0.1 M",5,,,,,,,,
309,11_C0114,,"Potassium carbonate",K2CO3,1.69M,HEPES,"0.1 M",7.5,,,,,,,,
313,11_C0115,,"Potassium carbonate",K2CO3,1.69M,TAPS,"0.1 M",9,,,,,,,,
317,11_C0116,,"Potassium carbonate",K2CO3,0.85M,MES,"0.1 M",6,,,,,,,,
321,11_C0117,,"Potassium carbonate",K2CO3,0.85M,CAPS,"0.1 M",10,,,,,,,,
325,11_C0118,,"Potassium chloride",KCl,2.32M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
329,11_C0119,,"Potassium chloride",KCl,2.32M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
333,11_C0120,,"Potassium chloride",KCl,2.32M,HEPES,"0.1 M",7.5,,,,,,,,
481,11_C0121,,"Potassium chloride",KCl,1.55M,MES,"0.1 M",6,,,,,,,,
485,11_C0122,,"Potassium chloride",KCl,1.55M,Tris,"0.1 M",8,,,,,,,,
489,11_C0123,,"Potassium chloride",KCl,1.55M,TAPS,"0.1 M",9,,,,,,,,
493,11_C0124,,"Potassium chloride",KCl,0.77M,"Sodium Acetate","0.1 M",5,,,,,,,,
497,11_C0125,,"Potassium chloride",KCl,0.77M,CAPS,"0.1 M",10,,,,,,,,
501,11_C0126,,"Potassium nitrate",KNO3,0.88M,"Sodium Acetate","0.1 M",5,,,,,,,,
505,11_C0127,,"Potassium nitrate",KNO3,0.88M,TAPS,"0.1 M",9,,,,,,,,
509,11_C0128,,"Potassium nitrate",KNO3,0.88M,Tris,"0.1 M",8,,,,,,,,
513,11_C0129,,"Potassium nitrate",KNO3,1.77M,"Sodium Acetate","0.1 M",5,,,,,,,,
517,11_C0130,,"Potassium nitrate",KNO3,0.88M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
521,11_C0131,,"Potassium nitrate",KNO3,0.88M,HEPES,"0.1 M",7.5,,,,,,,,
525,11_C0132,,"Potassium nitrate",KNO3,0.88M,CAPS,"0.1 M",10,,,,,,,,
673,11_C0133,,"Potassium phosphate-monobasic",KH2PO4,1.28M,Tris,"0.1 M",8,,,,,,,,
677,11_C0134,,"Potassium phosphate-monobasic",KH2PO4,0.85M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
681,11_C0135,,"Potassium phosphate-monobasic",KH2PO4,0.85M,HEPES,"0.1 M",7.5,,,,,,,,
685,11_C0136,,"Potassium phosphate-monobasic",KH2PO4,0.85M,CAPS,"0.1 M",10,,,,,,,,
689,11_C0137,,"Potassium phosphate-monobasic",KH2PO4,0.43M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
693,11_C0138,,"Potassium phosphate-monobasic",KH2PO4,0.43M,MES,"0.1 M",6,,,,,,,,
697,11_C0139,,"Potassium phosphate-monobasic",KH2PO4,0.43M,TAPS,"0.1 M",9,,,,,,,,
701,11_C0140,,"Potassium thiocyanate",KSCN,9.5M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
705,11_C0141,,"Potassium thiocyanate",KSCN,9.5M,MES,"0.1 M",6,,,,,,,,
709,11_C0142,,"Potassium thiocyanate",KSCN,6.34M,"Sodium Acetate","0.1 M",5,,,,,,,,
713,11_C0143,,"Potassium thiocyanate",KSCN,6.34M,Tris,"0.1 M",8,,,,,,,,
717,11_C0144,,"Potassium thiocyanate",KSCN,6.34M,CAPS,"0.1 M",10,,,,,,,,
865,11_C0145,,"Potassium thiocyanate",KSCN,3.17M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
869,11_C0146,,"Potassium thiocyanate",KSCN,3.17M,HEPES,"0.1 M",7.5,,,,,,,,
873,11_C0147,,"Potassium thiocyanate",KSCN,3.17M,TAPS,"0.1 M",9,,,,,,,,
877,11_C0148,,"Rubidium chloride",RbCl,2.85M,"Sodium Acetate","0.1 M",5,,,,,,,,
881,11_C0149,,"Rubidium chloride",RbCl,1.9M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
885,11_C0150,,"Rubidium chloride",RbCl,1.9M,MES,"0.1 M",6,,,,,,,,
889,11_C0151,,"Sodium bromide",NaBr,5.14M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
893,11_C0152,,"Sodium bromide",NaBr,5.14M,"Sodium Acetate","0.1 M",5,,,,,,,,
897,11_C0153,,"Sodium bromide",NaBr,5.14M,MES,"0.1 M",6,,,,,,,,
901,11_C0154,,"Sodium bromide",NaBr,3.43M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
905,11_C0155,,"Sodium bromide",NaBr,3.43M,HEPES,"0.1 M",7.5,,,,,,,,
909,11_C0156,,"Sodium bromide",NaBr,3.43M,Tris,"0.1 M",8,,,,,,,,
1057,11_C0157,,"Sodium bromide",NaBr,1.71M,TAPS,"0.1 M",9,,,,,,,,
1061,11_C0158,,"Sodium bromide",NaBr,1.71M,CAPS,"0.1 M",10,,,,,,,,
1065,11_C0159,,"Sodium chloride",NaCl,4.48M,MES,"0.1 M",6,,,,,,,,
1069,11_C0160,,"Sodium chloride",NaCl,4.48M,HEPES,"0.1 M",7.5,,,,,,,,
1073,11_C0161,"HR Crystal Screen Cryo - 25",,,,Imidazole,0.07M,6.5,"Sodium Acetate trihydrate ",0.7M,"Glycerol Anhydrous","30% (v/v)",,,,
1077,11_C0162,,"Sodium chloride",NaCl,2.99M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
1081,11_C0163,,"Sodium chloride",NaCl,2.99M,"Sodium Acetate","0.1 M",5,,,,,,,,
1085,11_C0164,,"Sodium chloride",NaCl,1.49M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
1089,11_C0165,,"Sodium chloride",NaCl,1.49M,Tris,"0.1 M",8,,,,,,,,
1093,11_C0166,,"Sodium chloride",NaCl,1.49M,TAPS,"0.1 M",9,,,,,,,,
1097,11_C0167,,"Sodium molybdate dihydrate",Na2MoO4*2H2O,2.03M,MES,"0.1 M",6,,,,,,,,
1101,11_C0168,,"Sodium molybdate dihydrate",Na2MoO4*2H2O,2.03M,HEPES,"0.1 M",7.5,,,,,,,,
1249,11_C0169,,"Sodium molybdate dihydrate",Na2MoO4*2H2O,1.35M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
1253,11_C0170,,"Sodium molybdate dihydrate",Na2MoO4*2H2O,1.35M,TAPS,"0.1 M",9,,,,,,,,
1257,11_C0171,,"Sodium molybdate dihydrate",Na2MoO4*2H2O,0.68M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
1261,11_C0172,,"Sodium molybdate dihydrate",Na2MoO4*2H2O,0.68M,Tris,"0.1 M",8,,,,,,,,
1265,11_C0173,,"Sodium molybdate dihydrate",Na2MoO4*2H2O,0.68M,CAPS,"0.1 M",10,,,,,,,,
1269,11_C0174,,"Sodium nitrate",NaNO3,3.9M,MES,"0.1 M",6,,,,,,,,
1273,11_C0175,,"Sodium nitrate",NaNO3,3.9M,HEPES,"0.1 M",7.5,,,,,,,,
1277,11_C0176,,"Sodium nitrate",NaNO3,2.6M,"Sodium Acetate","0.1 M",5,,,,,,,,
1281,11_C0177,,"Sodium nitrate",NaNO3,2.6M,Tris,"0.1 M",8,,,,,,,,
1285,11_C0178,,"Sodium nitrate",NaNO3,2.6M,TAPS,"0.1 M",9,,,,,,,,
1289,11_C0179,,"Sodium nitrate",NaNO3,1.3M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
1293,11_C0180,,"Sodium nitrate",NaNO3,1.3M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
1441,11_C0181,,"Sodium phosphate-monobasic",NaH2PO4,3.32M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
1445,11_C0182,,"Sodium phosphate-monobasic",NaH2PO4,3.32M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
1449,11_C0183,,"Sodium phosphate-monobasic",NaH2PO4,3.32M,TAPS,"0.1 M",9,,,,,,,,
1453,11_C0184,,"Sodium phosphate-monobasic",NaH2PO4,2.21M,MES,"0.1 M",6,,,,,,,,
1457,11_C0185,,"Sodium phosphate-monobasic",NaH2PO4,2.21M,HEPES,"0.1 M",7.5,,,,,,,,
1461,11_C0186,,"Sodium phosphate-monobasic",NaH2PO4,1.11M,"Sodium Acetate","0.1 M",5,,,,,,,,
1465,11_C0187,,"Sodium phosphate-monobasic",NaH2PO4,1.11M,Tris,"0.1 M",8,,,,,,,,
1469,11_C0188,,"Sodium phosphate-monobasic",NaH2PO4,1.11M,CAPS,"0.1 M",10,,,,,,,,
1473,11_C0189,,"Sodium thiosulfate pentahydrate",Na2S2O3*5H2O,2.83M,MES,"0.1 M",6,,,,,,,,
1477,11_C0190,,"Sodium thiosulfate pentahydrate",Na2S2O3*5H2O,2.83M,Tris,"0.1 M",8,,,,,,,,
1481,11_C0191,,"Sodium thiosulfate pentahydrate",Na2S2O3*5H2O,2.83M,TAPS,"0.1 M",9,,,,,,,,
1485,11_C0192,,"Sodium thiosulfate pentahydrate",Na2S2O3*5H2O,1.88M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
3,11_C0193,,"Sodium thiosulfate pentahydrate",Na2S2O3*5H2O,1.88M,TAPS,"0.1 M",9,,,,,,,,
7,11_C0194,,"Sodium thiosulfate pentahydrate",Na2S2O3*5H2O,0.94M,MES,"0.1 M",6,,,,,,,,
11,11_C0195,,"Sodium thiosulfate pentahydrate",Na2S2O3*5H2O,0.94M,CAPS,"0.1 M",10,,,,,,,,
15,11_C0196,,"Sodium thiosulfate pentahydrate",Na2S2O3*5H2O,0.94M,HEPES,"0.1 M",7.5,,,,,,,,
19,11_C0197,,"Zinc acetate",Zn(C2H3O2)2*2H2O,1.18M,HEPES,"0.1 M",7.5,,,,,,,,
23,11_C0198,,"Zinc acetate",Zn(C2H3O2)2*2H2O,1.18M,Tris,"0.1 M",8,,,,,,,,
27,11_C0199,,"Zinc acetate",Zn(C2H3O2)2*2H2O,0.79M,"Sodium Acetate","0.1 M",5,,,,,,,,
31,11_C0200,,"Zinc acetate",Zn(C2H3O2)2*2H2O,0.79M,Tris,"0.1 M",8,,,,,,,,
35,11_C0201,,"Zinc acetate",Zn(C2H3O2)2*2H2O,0.39M,"Sodium Acetate","0.1 M",5,,,,,,,,
39,11_C0202,,"Zinc acetate",Zn(C2H3O2)2*2H2O,0.39M,MES,"0.1 M",6,,,,,,,,
43,11_C0203,,"Potassium phosphate dibasic",K2HPO4,3.46M,MES,"0.1 M",6,,,,,,,,
47,11_C0204,,"Potassium phosphate dibasic",K2HPO4,3.46M,HEPES,"0.1 M",7.5,,,,,,,,
195,11_C0205,,"Potassium phosphate dibasic",K2HPO4,2.3M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
199,11_C0206,,"Potassium phosphate dibasic",K2HPO4,2.3M,TAPS,"0.1 M",9,,,,,,,,
203,11_C0207,,"Potassium phosphate dibasic",K2HPO4,2.3M,"Sodium Acetate","0.1 M",5,,,,,,,,
207,11_C0208,,"Potassium phosphate dibasic",K2HPO4,1.15M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
211,11_C0209,,"Potassium phosphate dibasic",K2HPO4,1.15M,"Sodium Acetate","0.1 M",5,,,,,,,,
215,11_C0210,,"Potassium phosphate dibasic",K2HPO4,1.15M,Tris,"0.1 M",8,,,,,,,,
219,11_C0211,,"Cobalt sulfate heptahydrate",CoSO4*7H2O,0.53M,Tris,"0.1 M",8,,,,,,,,
223,11_C0212,,"Cobalt sulfate heptahydrate",CoSO4*7H2O,1.06M,TAPS,"0.1 M",9,,,,,,,,
227,11_C0213,,"Cobalt sulfate heptahydrate",CoSO4*7H2O,0.53M,"Sodium Acetate","0.1 M",5,,,,,,,,
231,11_C0214,,"Cobalt sulfate heptahydrate",CoSO4*7H2O,1.06M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
235,11_C0215,,"Cobalt sulfate heptahydrate",CoSO4*7H2O,1.06M,"Sodium Acetate","0.1 M",5,,,,,,,,
239,11_C0216,,"Cobalt sulfate heptahydrate",CoSO4*7H2O,1.06M,Tris,"0.1 M",8,,,,,,,,
387,11_C0217,,"Cobalt sulfate heptahydrate",CoSO4*7H2O,0.53M,MES,"0.1 M",6,,,,,,,,
391,11_C0218,,"Cobalt sulfate heptahydrate",CoSO4*7H2O,0.53M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
395,11_C0219,,"Lithium sulfate monohydrate",Li2SO4*H2O,2.03M,MES,"0.1 M",6,,,,,,,,
399,11_C0220,,"Lithium sulfate monohydrate",Li2SO4*H2O,1.35M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
403,11_C0221,,"Lithium sulfate monohydrate",Li2SO4*H2O,1.35M,HEPES,"0.1 M",7.5,,,,,,,,
407,11_C0222,,"Lithium sulfate monohydrate",Li2SO4*H2O,0.68M,"Sodium Acetate","0.1 M",5,,,,,,,,
411,11_C0223,,"Potassium phosphate-tribasic",K3PO4,3.05M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
415,11_C0224,,"Potassium phosphate-tribasic",K3PO4,3.05M,Tris,"0.1 M",8,,,,,,,,
419,11_C0225,,"Potassium phosphate-tribasic",K3PO4,3.05M,TAPS,"0.1 M",9,,,,,,,,
423,11_C0226,,"Potassium phosphate-tribasic",K3PO4,2.03M,"Sodium Acetate","0.1 M",5,,,,,,,,
427,11_C0227,,"Potassium phosphate-tribasic",K3PO4,2.03M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
431,11_C0228,,"Ammonium thiocyanate",NH4SCN,8.1M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
579,11_C0229,,"Ammonium thiocyanate",NH4SCN,8.1M,"Sodium Acetate","0.1 M",5,,,,,,,,
583,11_C0230,,"Ammonium thiocyanate",NH4SCN,5.4M,MES,"0.1 M",6,,,,,,,,
587,11_C0231,"HR Crystal Screen Cryo - 29",,,,HEPES-Na,0.065M,7.5,"Potassium Sodium Tartrate tetrahydrate",0.52M,"Glycerol Anhydrous","35% (v/v)",,,,
