"Composite List",,,,,,,,,,,,,,
"Well position in plate","Cocktail #","Commercial Code","Chemical Additive","Chemical Formula",Concentration,"Chemical Additive",Concentration,pH,"Chemical Additive",Concentration,"Chemical Additive",Concentration,,
409,M4_C0031,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.2 M",MES,"0.1 M",6,"PEG 400","30% (v/v)",,,,
413,M4_C0032,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.2 M",MES,"0.1 M",6,"PEG 400","40% (v/v)",,,,
417,M4_C0033,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.2 M",MES,"0.1 M",6,"PEG 400","50% (v/v)",,,,
421,M4_C0034,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.05 M",MES,"0.1 M",6,"PEG 400","15% (v/v)",,,,
425,M4_C0035,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.4 M",MES,"0.1 M",6,"PEG 400","20% (v/v)",,,,
429,M4_C0036,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.4 M",MES,"0.1 M",6,"PEG 400","30% (v/v)",,,,
577,M4_C0037,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.1 M",MES,"0.1 M",6,"PEG 400","10% (v/v)",,,,
581,M4_C0038,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.4 M",MES,"0.1 M",6,"PEG 400","50% (v/v)",,,,
585,M4_C0039,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.1 M",MES,"0.1 M",6,"PEG 400","15% (v/v)",,,,
589,M4_C0040,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.5 M",MES,"0.1 M",6,"PEG 400","20% (v/v)",,,,
593,M4_C0041,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.5 M",MES,"0.1 M",6,"PEG 400","30% (v/v)",,,,
597,M4_C0042,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.5 M",MES,"0.1 M",6,"PEG 400","40% (v/v)",,,,
601,M4_C0043,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.5 M",MES,"0.1 M",6,"PEG 400","50% (v/v)",,,,
605,M4_C0044,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.25 M",MES,"0.1 M",6,"PEG 400","30% (v/v)",,,,
609,M4_C0045,,"Ammonium Sulfate ",(NH4)2SO4,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
613,M4_C0046,,"Ammonium Sulfate ",(NH4)2SO4,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","30% (v/v)",,,,
617,M4_C0047,,"Ammonium Sulfate ",(NH4)2SO4,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","40% (v/v)",,,,
621,M4_C0048,,"Ammonium Sulfate ",(NH4)2SO4,"0.05 M","Sodium Citrate","0.1 M",5.6,"PEG 400","15% (v/v)",,,,
769,M4_C0049,,"Ammonium Sulfate ",(NH4)2SO4,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","30% (v/v)",,,,
773,M4_C0050,,"Ammonium Sulfate ",(NH4)2SO4,"0.05 M","Sodium Citrate","0.1 M",5.6,"PEG 400","30% (v/v)",,,,
777,M4_C0051,,"Ammonium Sulfate ",(NH4)2SO4,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","25% (v/v)",,,,
781,M4_C0052,,"Ammonium Sulfate ",(NH4)2SO4,"0.05 M","Sodium Citrate","0.1 M",5.6,"PEG 400","10% (v/v)",,,,
785,M4_C0053,,"Ammonium Sulfate ",(NH4)2SO4,"0.4 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
789,M4_C0054,,"Ammonium Sulfate ",(NH4)2SO4,"0.4 M","Sodium Citrate","0.1 M",5.6,"PEG 400","30% (v/v)",,,,
793,M4_C0055,,"Ammonium Sulfate ",(NH4)2SO4,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
797,M4_C0056,,"Ammonium Sulfate ",(NH4)2SO4,"0.05 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
801,M4_C0057,,"Ammonium Sulfate ",(NH4)2SO4,"0.05 M","Sodium Citrate","0.1 M",5.6,"PEG 400","40% (v/v)",,,,
805,M4_C0058,,"Ammonium Sulfate ",(NH4)2SO4,"0.5 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
809,M4_C0059,,"Ammonium Sulfate ",(NH4)2SO4,"0.25 M","Sodium Citrate","0.1 M",5.6,"PEG 400","15% (v/v)",,,,
813,M4_C0060,,"Ammonium Sulfate ",(NH4)2SO4,"0.025 M","Sodium Citrate","0.1 M",5.6,"PEG 400","30% (v/v)",,,,
961,M4_C0061,,"Lithium chloride",LiCl,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
965,M4_C0062,,"Lithium Chloride",LiCl,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","30% (v/v)",,,,
969,M4_C0063,,"Lithium chloride",LiCl,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","40% (v/v)",,,,
973,M4_C0064,,"Lithium Chloride",LiCl,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","60% (v/v)",,,,
977,M4_C0065,,"Lithium chloride",LiCl,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
981,M4_C0066,,"Lithium Chloride",LiCl,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","30% (v/v)",,,,
985,M4_C0067,,"Lithium chloride",LiCl,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","40% (v/v)",,,,
989,M4_C0068,,"Lithium Chloride",LiCl,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","60% (v/v)",,,,
993,M4_C0069,,"Lithium chloride",LiCl,"0.4 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
997,M4_C0070,,"Lithium Chloride",LiCl,"0.4 M","Sodium Citrate","0.1 M",5.6,"PEG 400","30% (v/v)",,,,
1001,M4_C0071,,"Lithium chloride",LiCl,"0.4 M","Sodium Citrate","0.1 M",5.6,"PEG 400","40% (v/v)",,,,
1005,M4_C0072,,"Lithium Chloride",LiCl,"0.4 M","Sodium Citrate","0.1 M",5.6,"PEG 400","50% (v/v)",,,,
1153,M4_C0073,,"Potassium Chloride",KCl,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
1157,M4_C0074,,"Potassium Chloride",KCl,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","30% (v/v)",,,,
1161,M4_C0075,,"Potassium Chloride",KCl,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","40% (v/v)",,,,
1165,M4_C0076,,"Potassium Chloride",KCl,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","50% (v/v)",,,,
1169,M4_C0077,,"Potassium Chloride",KCl,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
1173,M4_C0078,,"Potassium Chloride",KCl,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","30% (v/v)",,,,
1177,M4_C0079,,"Potassium Chloride",KCl,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","40% (v/v)",,,,
1181,M4_C0080,,"Potassium Chloride",KCl,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","50% (v/v)",,,,
1185,M4_C0081,,"Potassium Chloride",KCl,"0.4 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
1189,M4_C0082,,"Potassium Chloride",KCl,"0.4 M","Sodium Citrate","0.1 M",5.6,"PEG 400","30% (v/v)",,,,
1193,M4_C0083,,"Potassium Chloride",KCl,"0.4 M","Sodium Citrate","0.1 M",5.6,"PEG 400","40% (v/v)",,,,
1197,M4_C0084,,"Potassium Chloride",KCl,"0.4 M","Sodium Citrate","0.1 M",5.6,"PEG 400","50% (v/v)",,,,
1345,M4_C0085,,"Sodium Chloride",NaCl,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
1349,M4_C0086,,"Sodium Chloride",NaCl,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","30% (v/v)",,,,
1353,M4_C0087,,"Sodium Chloride",NaCl,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","40% (v/v)",,,,
1357,M4_C0088,,"Sodium Chloride",NaCl,"0.05 M","Sodium Citrate","0.1 M",5.6,"PEG 400","25% (v/v)",,,,
1361,M4_C0089,,"Sodium Chloride",NaCl,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
1365,M4_C0090,,"Sodium Chloride",NaCl,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","30% (v/v)",,,,
1369,M4_C0091,,"Sodium Chloride",NaCl,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","40% (v/v)",,,,
1373,M4_C0092,,"Sodium Chloride",NaCl,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","25% (v/v)",,,,
1377,M4_C0093,,"Sodium Chloride",NaCl,"0.4 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
1381,M4_C0094,,"Sodium Chloride",NaCl,"0.4 M","Sodium Citrate","0.1 M",5.6,"PEG 400","30% (v/v)",,,,
1385,M4_C0095,,"Sodium Chloride",NaCl,"0.4 M","Sodium Citrate","0.1 M",5.6,"PEG 400","40% (v/v)",,,,
1389,M4_C0096,,"Sodium Chloride",NaCl,"0.4 M","Sodium Citrate","0.1 M",5.6,"PEG 400","10% (v/v)",,,,
97,M4_C0097,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.1 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
101,M4_C0098,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.1 M",HEPES,"0.1 M",7,"PEG 400","28% (v/v)",,,,
105,M4_C0099,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.1 M",HEPES,"0.1 M",7,"PEG 400","36% (v/v)",,,,
109,M4_C0100,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.2 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
113,M4_C0101,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.2 M",HEPES,"0.1 M",7,"PEG 400","28% (v/v)",,,,
117,M4_C0102,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.1 M",HEPES,"0.1 M",7,"PEG 400","18% (v/v)",,,,
121,M4_C0103,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.3 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
125,M4_C0104,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.3 M",HEPES,"0.1 M",7,"PEG 400","28% (v/v)",,,,
129,M4_C0105,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.15 M",HEPES,"0.1 M",7,"PEG 400","18% (v/v)",,,,
133,M4_C0106,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.4 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
137,M4_C0107,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.2 M",HEPES,"0.1 M",7,"PEG 400","14% (v/v)",,,,
141,M4_C0108,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.2 M",HEPES,"0.1 M",7,"PEG 400","18% (v/v)",,,,
289,M4_C0109,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.2 M",HEPES,"0.1 M",7,"PEG 400","25% (v/v)",,,,
293,M4_C0110,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.2 M",HEPES,"0.1 M",7,"PEG 400","30% (v/v)",,,,
297,M4_C0111,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.5 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
301,M4_C0112,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.25 M",HEPES,"0.1 M",7,"PEG 400","14% (v/v)",,,,
305,M4_C0113,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.25 M",HEPES,"0.1 M",7,"PEG 400","18% (v/v)",,,,
309,M4_C0114,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.25 M",HEPES,"0.1 M",7,"PEG 400","25% (v/v)",,,,
313,M4_C0115,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.125 M",HEPES,"0.1 M",7,"PEG 400","15% (v/v)",,,,
317,M4_C0116,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.6 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
321,M4_C0117,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.3 M",HEPES,"0.1 M",7,"PEG 400","14% (v/v)",,,,
325,M4_C0118,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.3 M",HEPES,"0.1 M",7,"PEG 400","18% (v/v)",,,,
329,M4_C0119,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.15 M",HEPES,"0.1 M",7,"PEG 400","12.5% (v/v)",,,,
333,M4_C0120,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.15 M",HEPES,"0.1 M",7,"PEG 400","15% (v/v)",,,,
481,M4_C0121,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.1 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
485,M4_C0122,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.05 M",HEPES,"0.1 M",7,"PEG 400","30% (v/v)",,,,
489,M4_C0123,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.1 M",HEPES,"0.1 M",7,"PEG 400","40% (v/v)",,,,
493,M4_C0124,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.1 M",HEPES,"0.1 M",7,"PEG 400","50% (v/v)",,,,
497,M4_C0125,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.1 M",HEPES,"0.1 M",7,"PEG 400","60% (v/v)",,,,
501,M4_C0126,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.2 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
505,M4_C0127,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.2 M",HEPES,"0.1 M",7,"PEG 400","30% (v/v)",,,,
509,M4_C0128,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.2 M",HEPES,"0.1 M",7,"PEG 400","40% (v/v)",,,,
513,M4_C0129,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.1 M",HEPES,"0.1 M",7,"PEG 400","25% (v/v)",,,,
517,M4_C0130,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.1 M",HEPES,"0.1 M",7,"PEG 400","30% (v/v)",,,,
521,M4_C0131,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.4 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
525,M4_C0132,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.4 M",HEPES,"0.1 M",7,"PEG 400","30% (v/v)",,,,
673,M4_C0133,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.4 M",HEPES,"0.1 M",7,"PEG 400","40% (v/v)",,,,
677,M4_C0134,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.4 M",HEPES,"0.1 M",7,"PEG 400","50% (v/v)",,,,
681,M4_C0135,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.4 M",HEPES,"0.1 M",7,"PEG 400","15% (v/v)",,,,
685,M4_C0136,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.5 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
689,M4_C0137,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.5 M",HEPES,"0.1 M",7,"PEG 400","30% (v/v)",,,,
693,M4_C0138,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.5 M",HEPES,"0.1 M",7,"PEG 400","40% (v/v)",,,,
697,M4_C0139,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.5 M",HEPES,"0.1 M",7,"PEG 400","10% (v/v)",,,,
701,M4_C0140,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.5 M",HEPES,"0.1 M",7,"PEG 400","15% (v/v)",,,,
705,M4_C0141,,"Ammonium Sulfate ",(NH4)2SO4,"0.1 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
709,M4_C0142,,"Ammonium Sulfate ",(NH4)2SO4,"0.1 M",HEPES,"0.1 M",7,"PEG 400","30% (v/v)",,,,
713,M4_C0143,,"Ammonium Sulfate ",(NH4)2SO4,"0.1 M",HEPES,"0.1 M",7,"PEG 400","40% (v/v)",,,,
717,M4_C0144,,"Ammonium Sulfate ",(NH4)2SO4,"0.2 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
865,M4_C0145,,"Ammonium Sulfate ",(NH4)2SO4,"0.2 M",HEPES,"0.1 M",7,"PEG 400","30% (v/v)",,,,
869,M4_C0146,,"Ammonium Sulfate ",(NH4)2SO4,"0.2 M",HEPES,"0.1 M",7,"PEG 400","40% (v/v)",,,,
873,M4_C0147,,"Ammonium Sulfate ",(NH4)2SO4,"0.2 M",HEPES,"0.1 M",7,"PEG 400","50% (v/v)",,,,
877,M4_C0148,,"Ammonium Sulfate ",(NH4)2SO4,"0.2 M",HEPES,"0.1 M",7,"PEG 400","10% (v/v)",,,,
881,M4_C0149,,"Ammonium Sulfate ",(NH4)2SO4,"0.4 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
885,M4_C0150,,"Ammonium Sulfate ",(NH4)2SO4,"0.4 M",HEPES,"0.1 M",7,"PEG 400","30% (v/v)",,,,
889,M4_C0151,,"Ammonium Sulfate ",(NH4)2SO4,"0.4 M",HEPES,"0.1 M",7,"PEG 400","40% (v/v)",,,,
893,M4_C0152,,"Ammonium Sulfate ",(NH4)2SO4,"0.4 M",HEPES,"0.1 M",7,"PEG 400","10% (v/v)",,,,
897,M4_C0153,,"Ammonium Sulfate ",(NH4)2SO4,"0.4 M",HEPES,"0.1 M",7,"PEG 400","15% (v/v)",,,,
901,M4_C0154,,"Ammonium Sulfate ",(NH4)2SO4,"0.5 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
905,M4_C0155,,"Ammonium Sulfate ",(NH4)2SO4,"0.5 M",HEPES,"0.1 M",7,"PEG 400","30% (v/v)",,,,
909,M4_C0156,,"Ammonium Sulfate ",(NH4)2SO4,"0.25 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
1057,M4_C0157,,"Calcium Chloride dihydrate","CaCl2 ∙ 2H2O","0.1 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
1061,M4_C0158,,"Calcium Chloride dihydrate","CaCl2 ∙ 2H2O","0.1 M",HEPES,"0.1 M",7,"PEG 400","30% (v/v)",,,,
1065,M4_C0159,,"Calcium Chloride dihydrate","CaCl2 ∙ 2H2O","0.1 M",HEPES,"0.1 M",7,"PEG 400","40% (v/v)",,,,
1069,M4_C0160,,"Calcium Chloride dihydrate","CaCl2 ∙ 2H2O","0.1 M",HEPES,"0.1 M",7,"PEG 400","10% (v/v)",,,,
1073,M4_C0161,,"Calcium Chloride dihydrate","CaCl2 ∙ 2H2O","0.2 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
1077,M4_C0162,,"Calcium Chloride dihydrate","CaCl2 ∙ 2H2O","0.2 M",HEPES,"0.1 M",7,"PEG 400","30% (v/v)",,,,
1081,M4_C0163,,"Calcium Chloride dihydrate","CaCl2 ∙ 2H2O","0.2 M",HEPES,"0.1 M",7,"PEG 400","40% (v/v)",,,,
1085,M4_C0164,,"Calcium Chloride dihydrate","CaCl2 ∙ 2H2O","0.2 M",HEPES,"0.1 M",7,"PEG 400","60% (v/v)",,,,
1089,M4_C0165,,"Calcium Chloride dihydrate","CaCl2 ∙ 2H2O","0.4 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
1093,M4_C0166,,"Calcium Chloride dihydrate","CaCl2 ∙ 2H2O","0.4 M",HEPES,"0.1 M",7,"PEG 400","30% (v/v)",,,,
1097,M4_C0167,,"Calcium Chloride dihydrate","CaCl2 ∙ 2H2O","0.4 M",HEPES,"0.1 M",7,"PEG 400","40% (v/v)",,,,
1101,M4_C0168,,"Calcium Chloride dihydrate","CaCl2 ∙ 2H2O","0.4 M",HEPES,"0.1 M",7,"PEG 400","60% (v/v)",,,,
1249,M4_C0169,,"Potassium Chloride",KCl,"0.1 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
1253,M4_C0170,,"Potassium Chloride",KCl,"0.1 M",HEPES,"0.1 M",7,"PEG 400","30% (v/v)",,,,
1257,M4_C0171,,"Potassium Chloride",KCl,"0.1 M",HEPES,"0.1 M",7,"PEG 400","40% (v/v)",,,,
1261,M4_C0172,,"Potassium Chloride",KCl,"0.1 M",HEPES,"0.1 M",7,"PEG 400","50% (v/v)",,,,
1265,M4_C0173,,"Potassium Chloride",KCl,"0.2 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
1269,M4_C0174,,"Potassium Chloride",KCl,"0.2 M",HEPES,"0.1 M",7,"PEG 400","30% (v/v)",,,,
1273,M4_C0175,,"Potassium Chloride",KCl,"0.2 M",HEPES,"0.1 M",7,"PEG 400","40% (v/v)",,,,
1277,M4_C0176,,"Potassium Chloride",KCl,"0.2 M",HEPES,"0.1 M",7,"PEG 400","50% (v/v)",,,,
1281,M4_C0177,,"Potassium Chloride",KCl,"0.4 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
1285,M4_C0178,,"Potassium Chloride",KCl,"0.4 M",HEPES,"0.1 M",7,"PEG 400","30% (v/v)",,,,
1289,M4_C0179,,"Potassium Chloride",KCl,"0.4 M",HEPES,"0.1 M",7,"PEG 400","40% (v/v)",,,,
