"Composite List",,,,,,,,,,,,,,
"Well position in plate","Cocktail #","Commercial Code","Chemical Additive","Chemical Formula",Concentration,"Chemical Additive",Concentration,pH,"Chemical Additive",Concentration,"Chemical Additive",Concentration,,
577,10_C0037,,"Ammonium sulfate",(NH4)2SO4,3.42M,"Sodium Citrate","0.1 M",4.2,,,,,,
581,10_C0038,,"Ammonium sulfate",(NH4)2SO4,3.42M,"Sodium Acetate","0.1 M",5,,,,,,
585,10_C0039,,"Ammonium sulfate",(NH4)2SO4,3.42M,"Bis-Tris Propane","0.1 M",7,,,,,,
589,10_C0040,,"Ammonium sulfate",(NH4)2SO4,2.28M,HEPES,"0.1 M",7.5,,,,,,
593,10_C0041,,"Ammonium sulfate",(NH4)2SO4,2.28M,Tris,"0.1 M",8,,,,,,
597,10_C0042,,"Ammonium sulfate",(NH4)2SO4,1.14M,MES,"0.1 M",6,,,,,,
601,10_C0043,,"Ammonium sulfate",(NH4)2SO4,1.14M,TAPS,"0.1 M",9,,,,,,
605,10_C0044,,"Ammonium sulfate",(NH4)2SO4,1.14M,CAPS,"0.1 M",10,,,,,,
609,10_C0045,,"Calcium acetate",Ca(C2H3O2)2,1.09M,"Bis-Tris Propane","0.1 M",7,,,,,,
613,10_C0046,,"Calcium acetate",Ca(C2H3O2)2,0.55M,MES,"0.1 M",6,,,,,,
617,10_C0047,,"Calcium acetate",Ca(C2H3O2)2,0.55M,"Sodium Acetate","0.1 M",5,,,,,,
621,10_C0048,"HR Crystal Screen Cryo - 43",,,,"Polyethylene Glycol 1500","24% (w/v)",,"Glycerol Anhydrous","20% (v/v)",,,,
769,10_C0049,"HR Crystal Screen Cryo - 1","Calcium chloride dihydrate",,0.02M,"Sodium Acetate trihydrate","0.1 M",4.6,"2-Methyl-2,4-pentanediol","30% (v/v)",,,,
773,10_C0050,"HR Crystal Screen Cryo - 2","Potassium sodium tartrate tetrahydrate",,0.26M,,,,"Glycerol Anhydrous","35% (v/v)",,,,
777,10_C0051,"HR Crystal Screen Cryo - 3","Ammonium dihydrogen phosphate ",,0.26M,,,,"Glycerol Anhydrous","35% (v/v)",,,,
781,10_C0052,,"Lithium bromide",LiBr,5.6M,"Sodium Acetate","0.1 M",5,,,,,,
785,10_C0053,,"Lithium bromide",LiBr,5.6M,"Sodium Citrate","0.1 M",4.2,,,,,,
789,10_C0054,,"Lithium bromide",LiBr,3.73M,MES,"0.1 M",6,,,,,,
793,10_C0055,,"Lithium bromide",LiBr,3.73M,"Bis-Tris Propane","0.1 M",7,,,,,,
797,10_C0056,,"Lithium bromide",LiBr,1.87M,"Sodium Citrate","0.1 M",4.2,,,,,,
801,10_C0057,,"Lithium bromide",LiBr,1.87M,Tris,"0.1 M",8,,,,,,
805,10_C0058,,"Lithium bromide",LiBr,1.87M,TAPS,"0.1 M",9,,,,,,
809,10_C0059,,"Lithium chloride",LiCl,6.62M,"Sodium Acetate","0.1 M",5,,,,,,
813,10_C0060,,"Lithium chloride",LiCl,6.62M,HEPES,"0.1 M",7.5,,,,,,
961,10_C0061,,"Lithium chloride",LiCl,6.62M,CAPS,"0.1 M",10,,,,,,
965,10_C0062,,"Lithium chloride",LiCl,4.42M,MES,"0.1 M",6,,,,,,
969,10_C0063,,"Lithium chloride",LiCl,4.42M,"Bis-Tris Propane","0.1 M",7,,,,,,
973,10_C0064,,"Lithium chloride",LiCl,4.42M,Tris,"0.1 M",8,,,,,,
977,10_C0065,,"Lithium chloride",LiCl,2.21M,"Sodium Citrate","0.1 M",4.2,,,,,,
981,10_C0066,,"Lithium chloride",LiCl,2.21M,TAPS,"0.1 M",9,,,,,,
985,10_C0067,,"Magnesium acetate",Mg(C2H3O2)2*4H2O,2.69M,"Bis-Tris Propane","0.1 M",7,,,,,,
989,10_C0068,,"Magnesium acetate",Mg(C2H3O2)2*4H2O,2.69M,TAPS,"0.1 M",9,,,,,,
993,10_C0069,,"Magnesium acetate",Mg(C2H3O2)2*4H2O,1.79M,"Sodium Citrate","0.1 M",4.2,,,,,,
997,10_C0070,,"Magnesium acetate",Mg(C2H3O2)2*4H2O,1.79M,MES,"0.1 M",6,,,,,,
1001,10_C0071,,"Magnesium acetate",Mg(C2H3O2)2*4H2O,1.79M,Tris,"0.1 M",8,,,,,,
1005,10_C0072,,"Magnesium acetate",Mg(C2H3O2)2*4H2O,0.9M,"Sodium Acetate","0.1 M",5,,,,,,
1153,10_C0073,,"Magnesium acetate",Mg(C2H3O2)2*4H2O,0.9M,"Bis-Tris Propane","0.1 M",7,,,,,,
1157,10_C0074,,"Magnesium chloride hexahydrate",MgCl2*6H2O,3.73M,"Sodium Acetate","0.1 M",5,,,,,,
1161,10_C0075,,"Magnesium chloride hexahydrate",MgCl2*6H2O,3.73M,"Sodium Citrate","0.1 M",4.2,,,,,,
1165,10_C0076,,"Magnesium chloride hexahydrate",MgCl2*6H2O,2.48M,HEPES,"0.1 M",7.5,,,,,,
1169,10_C0077,,"Magnesium chloride hexahydrate",MgCl2*6H2O,2.48M,Tris,"0.1 M",8,,,,,,
1173,10_C0078,,"Magnesium chloride hexahydrate",MgCl2*6H2O,1.24M,"Sodium Citrate","0.1 M",4.2,,,,,,
1177,10_C0079,,"Magnesium chloride hexahydrate",MgCl2*6H2O,1.24M,MES,"0.1 M",6,,,,,,
1181,10_C0080,,"Magnesium chloride hexahydrate",MgCl2*6H2O,1.24M,"Bis-Tris Propane","0.1 M",7,,,,,,
1185,10_C0081,,"Magnesium sulfate heptahydrate",MgSO4*7H2O,1.59M,TAPS,"0.1 M",9,,,,,,
1189,10_C0082,,"Magnesium sulfate heptahydrate",MgSO4*7H2O,1.59M,Tris,"0.1 M",8,,,,,,
1193,10_C0083,,"Magnesium sulfate heptahydrate",MgSO4*7H2O,1.06M,"Bis-Tris Propane","0.1 M",7,,,,,,
1197,10_C0084,,"Magnesium sulfate heptahydrate",MgSO4*7H2O,0.53M,"Sodium Acetate","0.1 M",5,,,,,,
1345,10_C0085,,"Magnesium sulfate heptahydrate",MgSO4*7H2O,0.53M,HEPES,"0.1 M",7.5,,,,,,
1349,10_C0086,,"Magnesium sulfate heptahydrate",MgSO4*7H2O,0.53M,Tris,"0.1 M",8,,,,,,
1353,10_C0087,,"Manganese chloride tetrahydrate",MnCl2*4H2O,3.82M,"Sodium Citrate","0.1 M",4.2,,,,,,
1357,10_C0088,,"Manganese chloride tetrahydrate",MnCl2*4H2O,3.82M,Tris,"0.1 M",8,,,,,,
1361,10_C0089,,"Manganese chloride tetrahydrate",MnCl2*4H2O,3.82M,"Sodium Acetate","0.1 M",5,,,,,,
1365,10_C0090,,"Manganese chloride tetrahydrate",MnCl2*4H2O,2.54M,"Sodium Acetate","0.1 M",5,,,,,,
1369,10_C0091,,"Manganese chloride tetrahydrate",MnCl2*4H2O,2.54M,"Sodium Citrate","0.1 M",4.2,,,,,,
1373,10_C0092,,"Manganese chloride tetrahydrate",MnCl2*4H2O,1.27M,"Sodium Citrate","0.1 M",4.2,,,,,,
1377,10_C0093,,"Manganese chloride tetrahydrate",MnCl2*4H2O,1.27M,"Sodium Acetate","0.1 M",5,,,,,,
1381,10_C0094,,"Potassium acetate",KC2H3O2,8.64M,Tris,"0.1 M",8,,,,,,
1385,10_C0095,,"Potassium acetate",KC2H3O2,8.64M,TAPS,"0.1 M",9,,,,,,
1389,10_C0096,,"Potassium acetate",KC2H3O2,5.76M,"Sodium Citrate","0.1 M",4.2,,,,,,
97,10_C0097,,"Potassium acetate",KC2H3O2,5.76M,"Sodium Acetate","0.1 M",5,,,,,,
101,10_C0098,,"Potassium acetate",KC2H3O2,5.76M,HEPES,"0.1 M",7.5,,,,,,
105,10_C0099,,"Potassium acetate",KC2H3O2,2.88M,MES,"0.1 M",6,,,,,,
109,10_C0100,,"Potassium acetate",KC2H3O2,2.88M,"Bis-Tris Propane","0.1 M",7,,,,,,
113,10_C0101,,"Potassium acetate",KC2H3O2,2.88M,CAPS,"0.1 M",10,,,,,,
117,10_C0102,,"Potassium bromide",KBr,4M,"Sodium Acetate","0.1 M",5,,,,,,
121,10_C0103,,"Potassium bromide",KBr,4M,Tris,"0.1 M",8,,,,,,
125,10_C0104,,"Potassium bromide",KBr,2.66M,MES,"0.1 M",6,,,,,,
129,10_C0105,,"Potassium bromide",KBr,2.66M,"Bis-Tris Propane","0.1 M",7,,,,,,
133,10_C0106,,"Potassium bromide",KBr,2.66M,CAPS,"0.1 M",10,,,,,,
137,10_C0107,,"Potassium bromide",KBr,1.33M,"Sodium Citrate","0.1 M",4.2,,,,,,
141,10_C0108,,"Potassium bromide",KBr,1.33M,HEPES,"0.1 M",7.5,,,,,,
289,10_C0109,,"Potassium bromide",KBr,1.33M,TAPS,"0.1 M",9,,,,,,
293,10_C0110,,"Potassium carbonate",K2CO3,2.54M,"Sodium Citrate","0.1 M",4.2,,,,,,
297,10_C0111,,"Potassium carbonate",K2CO3,2.54M,"Bis-Tris Propane","0.1 M",7,,,,,,
301,10_C0112,,"Potassium carbonate",K2CO3,2.54M,Tris,"0.1 M",8,,,,,,
305,10_C0113,,"Potassium carbonate",K2CO3,1.69M,"Sodium Acetate","0.1 M",5,,,,,,
309,10_C0114,,"Potassium carbonate",K2CO3,1.69M,HEPES,"0.1 M",7.5,,,,,,
313,10_C0115,,"Potassium carbonate",K2CO3,1.69M,TAPS,"0.1 M",9,,,,,,
317,10_C0116,,"Potassium carbonate",K2CO3,0.85M,MES,"0.1 M",6,,,,,,
321,10_C0117,,"Potassium carbonate",K2CO3,0.85M,CAPS,"0.1 M",10,,,,,,
325,10_C0118,,"Potassium chloride",KCl,2.32M,"Sodium Citrate","0.1 M",4.2,,,,,,
329,10_C0119,,"Potassium chloride",KCl,2.32M,"Bis-Tris Propane","0.1 M",7,,,,,,
333,10_C0120,,"Potassium chloride",KCl,2.32M,HEPES,"0.1 M",7.5,,,,,,
481,10_C0121,,"Potassium chloride",KCl,1.55M,MES,"0.1 M",6,,,,,,
485,10_C0122,,"Potassium chloride",KCl,1.55M,Tris,"0.1 M",8,,,,,,
489,10_C0123,,"Potassium chloride",KCl,1.55M,TAPS,"0.1 M",9,,,,,,
493,10_C0124,,"Potassium chloride",KCl,0.77M,"Sodium Acetate","0.1 M",5,,,,,,
497,10_C0125,,"Potassium chloride",KCl,0.77M,CAPS,"0.1 M",10,,,,,,
501,10_C0126,,"Potassium nitrate",KNO3,0.88M,"Sodium Acetate","0.1 M",5,,,,,,
505,10_C0127,,"Potassium nitrate",KNO3,0.88M,TAPS,"0.1 M",9,,,,,,
509,10_C0128,,"Potassium nitrate",KNO3,0.88M,Tris,"0.1 M",8,,,,,,
513,10_C0129,,"Potassium nitrate",KNO3,1.77M,"Sodium Acetate","0.1 M",5,,,,,,
517,10_C0130,,"Potassium nitrate",KNO3,0.88M,"Sodium Citrate","0.1 M",4.2,,,,,,
521,10_C0131,,"Potassium nitrate",KNO3,0.88M,HEPES,"0.1 M",7.5,,,,,,
525,10_C0132,,"Potassium nitrate",KNO3,0.88M,CAPS,"0.1 M",10,,,,,,
673,10_C0133,,"Potassium phosphate-monobasic",KH2PO4,1.28M,Tris,"0.1 M",8,,,,,,
677,10_C0134,,"Potassium phosphate-monobasic",KH2PO4,0.85M,"Bis-Tris Propane","0.1 M",7,,,,,,
681,10_C0135,,"Potassium phosphate-monobasic",KH2PO4,0.85M,HEPES,"0.1 M",7.5,,,,,,
685,10_C0136,,"Potassium phosphate-monobasic",KH2PO4,0.85M,CAPS,"0.1 M",10,,,,,,
689,10_C0137,,"Potassium phosphate-monobasic",KH2PO4,0.43M,"Sodium Citrate","0.1 M",4.2,,,,,,
693,10_C0138,,"Potassium phosphate-monobasic",KH2PO4,0.43M,MES,"0.1 M",6,,,,,,
697,10_C0139,,"Potassium phosphate-monobasic",KH2PO4,0.43M,TAPS,"0.1 M",9,,,,,,
701,10_C0140,,"Potassium thiocyanate",KSCN,9.5M,"Sodium Citrate","0.1 M",4.2,,,,,,
705,10_C0141,,"Potassium thiocyanate",KSCN,9.5M,MES,"0.1 M",6,,,,,,
709,10_C0142,,"Potassium thiocyanate",KSCN,6.34M,"Sodium Acetate","0.1 M",5,,,,,,
713,10_C0143,,"Potassium thiocyanate",KSCN,6.34M,Tris,"0.1 M",8,,,,,,
717,10_C0144,,"Potassium thiocyanate",KSCN,6.34M,CAPS,"0.1 M",10,,,,,,
865,10_C0145,,"Potassium thiocyanate",KSCN,3.17M,"Bis-Tris Propane","0.1 M",7,,,,,,
869,10_C0146,,"Potassium thiocyanate",KSCN,3.17M,HEPES,"0.1 M",7.5,,,,,,
873,10_C0147,,"Potassium thiocyanate",KSCN,3.17M,TAPS,"0.1 M",9,,,,,,
877,10_C0148,,"Rubidium chloride",RbCl,2.85M,"Sodium Acetate","0.1 M",5,,,,,,
881,10_C0149,,"Rubidium chloride",RbCl,1.9M,"Sodium Citrate","0.1 M",4.2,,,,,,
885,10_C0150,,"Rubidium chloride",RbCl,1.9M,MES,"0.1 M",6,,,,,,
889,10_C0151,,"Sodium bromide",NaBr,5.14M,"Sodium Citrate","0.1 M",4.2,,,,,,
893,10_C0152,,"Sodium bromide",NaBr,5.14M,"Sodium Acetate","0.1 M",5,,,,,,
897,10_C0153,,"Sodium bromide",NaBr,5.14M,MES,"0.1 M",6,,,,,,
901,10_C0154,,"Sodium bromide",NaBr,3.43M,"Bis-Tris Propane","0.1 M",7,,,,,,
905,10_C0155,,"Sodium bromide",NaBr,3.43M,HEPES,"0.1 M",7.5,,,,,,
909,10_C0156,,"Sodium bromide",NaBr,3.43M,Tris,"0.1 M",8,,,,,,
1057,10_C0157,,"Sodium bromide",NaBr,1.71M,TAPS,"0.1 M",9,,,,,,
1061,10_C0158,,"Sodium bromide",NaBr,1.71M,CAPS,"0.1 M",10,,,,,,
1065,10_C0159,,"Sodium chloride",NaCl,4.48M,MES,"0.1 M",6,,,,,,
1069,10_C0160,,"Sodium chloride",NaCl,4.48M,HEPES,"0.1 M",7.5,,,,,,
1073,10_C0161,"HR Crystal Screen Cryo - 25",,,,Imidazole,0.07M,6.5,"Sodium Acetate trihydrate ",0.7M,"Glycerol Anhydrous","30% (v/v)",,
1077,10_C0162,,"Sodium chloride",NaCl,2.99M,"Sodium Citrate","0.1 M",4.2,,,,,,
1081,10_C0163,,"Sodium chloride",NaCl,2.99M,"Sodium Acetate","0.1 M",5,,,,,,
1085,10_C0164,,"Sodium chloride",NaCl,1.49M,"Bis-Tris Propane","0.1 M",7,,,,,,
1089,10_C0165,,"Sodium chloride",NaCl,1.49M,Tris,"0.1 M",8,,,,,,
1093,10_C0166,,"Sodium chloride",NaCl,1.49M,TAPS,"0.1 M",9,,,,,,
1097,10_C0167,,"Sodium molybdate dihydrate",Na2MoO4*2H2O,2.03M,MES,"0.1 M",6,,,,,,
1101,10_C0168,,"Sodium molybdate dihydrate",Na2MoO4*2H2O,2.03M,HEPES,"0.1 M",7.5,,,,,,
1249,10_C0169,,"Sodium molybdate dihydrate",Na2MoO4*2H2O,1.35M,"Bis-Tris Propane","0.1 M",7,,,,,,
1253,10_C0170,,"Sodium molybdate dihydrate",Na2MoO4*2H2O,1.35M,TAPS,"0.1 M",9,,,,,,
1257,10_C0171,,"Sodium molybdate dihydrate",Na2MoO4*2H2O,0.68M,"Sodium Citrate","0.1 M",4.2,,,,,,
1261,10_C0172,,"Sodium molybdate dihydrate",Na2MoO4*2H2O,0.68M,Tris,"0.1 M",8,,,,,,
1265,10_C0173,,"Sodium molybdate dihydrate",Na2MoO4*2H2O,0.68M,CAPS,"0.1 M",10,,,,,,
1269,10_C0174,,"Sodium nitrate",NaNO3,3.9M,MES,"0.1 M",6,,,,,,
1273,10_C0175,,"Sodium nitrate",NaNO3,3.9M,HEPES,"0.1 M",7.5,,,,,,
1277,10_C0176,,"Sodium nitrate",NaNO3,2.6M,"Sodium Acetate","0.1 M",5,,,,,,
1281,10_C0177,,"Sodium nitrate",NaNO3,2.6M,Tris,"0.1 M",8,,,,,,
1285,10_C0178,,"Sodium nitrate",NaNO3,2.6M,TAPS,"0.1 M",9,,,,,,
1289,10_C0179,,"Sodium nitrate",NaNO3,1.3M,"Sodium Citrate","0.1 M",4.2,,,,,,
1293,10_C0180,,"Sodium nitrate",NaNO3,1.3M,"Bis-Tris Propane","0.1 M",7,,,,,,
1441,10_C0181,,"Sodium phosphate-monobasic",NaH2PO4*H2O,3.32M,"Sodium Citrate","0.1 M",4.2,,,,,,
1445,10_C0182,,"Sodium phosphate-monobasic",NaH2PO4*H2O,3.32M,"Bis-Tris Propane","0.1 M",7,,,,,,
1449,10_C0183,,"Sodium phosphate-monobasic",NaH2PO4*H2O,3.32M,TAPS,"0.1 M",9,,,,,,
1453,10_C0184,,"Sodium phosphate-monobasic",NaH2PO4*H2O,2.21M,MES,"0.1 M",6,,,,,,
1457,10_C0185,,"Sodium phosphate-monobasic",NaH2PO4*H2O,2.21M,HEPES,"0.1 M",7.5,,,,,,
1461,10_C0186,,"Sodium phosphate-monobasic",NaH2PO4*H2O,1.11M,"Sodium Acetate","0.1 M",5,,,,,,
1465,10_C0187,,"Sodium phosphate-monobasic",NaH2PO4*H2O,1.11M,Tris,"0.1 M",8,,,,,,
1469,10_C0188,,"Sodium phosphate-monobasic",NaH2PO4*H2O,1.11M,CAPS,"0.1 M",10,,,,,,
1473,10_C0189,,"Sodium thiosulfate pentahydrate",Na2S2O3*5H2O,2.83M,MES,"0.1 M",6,,,,,,
1477,10_C0190,,"Sodium thiosulfate pentahydrate",Na2S2O3*5H2O,2.83M,Tris,"0.1 M",8,,,,,,
1481,10_C0191,,"Sodium thiosulfate pentahydrate",Na2S2O3*5H2O,2.83M,TAPS,"0.1 M",9,,,,,,
1485,10_C0192,,"Sodium thiosulfate pentahydrate",Na2S2O3*5H2O,1.88M,"Bis-Tris Propane","0.1 M",7,,,,,,
3,10_C0193,,"Sodium thiosulfate pentahydrate",Na2S2O3*5H2O,1.88M,TAPS,"0.1 M",9,,,,,,
7,10_C0194,,"Sodium thiosulfate pentahydrate",Na2S2O3*5H2O,0.94M,MES,"0.1 M",6,,,,,,
11,10_C0195,,"Sodium thiosulfate pentahydrate",Na2S2O3*5H2O,0.94M,CAPS,"0.1 M",10,,,,,,
15,10_C0196,,"Sodium thiosulfate pentahydrate",Na2S2O3*5H2O,0.94M,HEPES,"0.1 M",7.5,,,,,,
19,10_C0197,,"Zinc acetate",Zn(C2H3O2)2,1.18M,HEPES,"0.1 M",7.5,,,,,,
23,10_C0198,,"Zinc acetate",Zn(C2H3O2)2,1.18M,Tris,"0.1 M",8,,,,,,
27,10_C0199,,"Zinc acetate",Zn(C2H3O2)2,0.79M,"Sodium Acetate","0.1 M",5,,,,,,
31,10_C0200,,"Zinc acetate",Zn(C2H3O2)2,0.79M,Tris,"0.1 M",8,,,,,,
35,10_C0201,,"Zinc acetate",Zn(C2H3O2)2,0.39M,"Sodium Acetate","0.1 M",5,,,,,,
39,10_C0202,,"Zinc acetate",Zn(C2H3O2)2,0.39M,MES,"0.1 M",6,,,,,,
43,10_C0203,,"Potassium phosphate dibasic",K2HPO4,3.46M,MES,"0.1 M",6,,,,,,
47,10_C0204,,"Potassium phosphate dibasic",K2HPO4,3.46M,HEPES,"0.1 M",7.5,,,,,,
195,10_C0205,,"Potassium phosphate dibasic",K2HPO4,2.3M,"Bis-Tris Propane","0.1 M",7,,,,,,
199,10_C0206,,"Potassium phosphate dibasic",K2HPO4,2.3M,TAPS,"0.1 M",9,,,,,,
203,10_C0207,,"Potassium phosphate dibasic",K2HPO4,2.3M,"Sodium Acetate","0.1 M",5,,,,,,
207,10_C0208,,"Potassium phosphate dibasic",K2HPO4,1.15M,"Sodium Citrate","0.1 M",4.2,,,,,,
211,10_C0209,,"Potassium phosphate dibasic",K2HPO4,1.15M,"Sodium Acetate","0.1 M",5,,,,,,
215,10_C0210,,"Potassium phosphate dibasic",K2HPO4,1.15M,Tris,"0.1 M",8,,,,,,
219,10_C0211,,"Cobalt sulfate heptahydrate",CoSO4*7H2O,0.53M,Tris,"0.1 M",8,,,,,,
223,10_C0212,,"Cobalt sulfate heptahydrate",CoSO4*7H2O,1.06M,TAPS,"0.1 M",9,,,,,,
227,10_C0213,,"Cobalt sulfate heptahydrate",CoSO4*7H2O,0.53M,"Sodium Acetate","0.1 M",5,,,,,,
231,10_C0214,,"Cobalt sulfate heptahydrate",CoSO4*7H2O,1.06M,"Sodium Citrate","0.1 M",4.2,,,,,,
235,10_C0215,,"Cobalt sulfate heptahydrate",CoSO4*7H2O,1.06M,"Sodium Acetate","0.1 M",5,,,,,,
239,10_C0216,,"Cobalt sulfate heptahydrate",CoSO4*7H2O,1.06M,Tris,"0.1 M",8,,,,,,
387,10_C0217,,"Cobalt sulfate heptahydrate",CoSO4*7H2O,0.53M,MES,"0.1 M",6,,,,,,
391,10_C0218,,"Cobalt sulfate heptahydrate",CoSO4*7H2O,0.53M,"Bis-Tris Propane","0.1 M",7,,,,,,
395,10_C0219,,"Lithium sulfate monohydrate",Li2SO4*H2O,2.03M,MES,"0.1 M",6,,,,,,
399,10_C0220,,"Lithium sulfate monohydrate",Li2SO4*H2O,1.35M,"Sodium Citrate","0.1 M",4.2,,,,,,
403,10_C0221,,"Lithium sulfate monohydrate",Li2SO4*H2O,1.35M,HEPES,"0.1 M",7.5,,,,,,
407,10_C0222,,"Lithium sulfate monohydrate",Li2SO4*H2O,0.68M,"Sodium Acetate","0.1 M",5,,,,,,
411,10_C0223,,"Potassium phosphate-tribasic",K3PO4,3.05M,"Sodium Citrate","0.1 M",4.2,,,,,,
415,10_C0224,,"Potassium phosphate-tribasic",K3PO4,3.05M,Tris,"0.1 M",8,,,,,,
419,10_C0225,,"Potassium phosphate-tribasic",K3PO4,3.05M,TAPS,"0.1 M",9,,,,,,
423,10_C0226,,"Potassium phosphate-tribasic",K3PO4,2.03M,"Sodium Acetate","0.1 M",5,,,,,,
427,10_C0227,,"Potassium phosphate-tribasic",K3PO4,2.03M,"Bis-Tris Propane","0.1 M",7,,,,,,
431,10_C0228,,"Ammonium thiocyanate",NH4SCN,8.1M,"Sodium Citrate","0.1 M",4.2,,,,,,
579,10_C0229,,"Ammonium thiocyanate",NH4SCN,8.1M,"Sodium Acetate","0.1 M",5,,,,,,
583,10_C0230,,"Ammonium thiocyanate",NH4SCN,5.4M,MES,"0.1 M",6,,,,,,
587,10_C0231,"HR Crystal Screen Cryo - 29",,,,HEPES-Na,0.065M,7.5,"Potassium Sodium Tartrate tetrahydrate",0.52M,"Glycerol Anhydrous","35% (v/v)",,
591,10_C0232,"HR Crystal Screen Cryo - 30","Ammonium sulfate",,0.17M,,,,"PEG 8000","25.5% (w/v)","Glycerol Anhydrous","15% (v/v)",,
595,10_C0233,,"Ammonium thiocyanate",NH4SCN,2.7M,"Bis-Tris Propane","0.1 M",7,,,,,,
599,10_C0234,,"Ammonium thiocyanate",NH4SCN,2.7M,HEPES,"0.1 M",7.5,,,,,,
603,10_C0235,,"Ammonium thiocyanate",NH4SCN,2.7M,CAPS,"0.1 M",10,,,,,,
607,10_C0236,"HR Crystal Screen Cryo - 31","Ammonium Sulfate",,0.17M,,,,"PEG 4000","25.5% (w/v)","Glycerol Anhydrous","15% (v/v)",,
611,10_C0237,"HR Crystal Screen Cryo - 4","Ammonium Sulfate",,1.5M,"Tris Hydrochloride",0.075M,8.5,"Glycerol Anhydrous","25% (v/v)",,,,
