"Composite List",,,,,,,,,,,,,,
"Well position in plate","Cocktail #","Commercial Code","Chemical Additive","Chemical Formula",Concentration,"Chemical Additive",Concentration,pH,"Chemical Additive",Concentration,"Chemical Additive",Concentration,"Chemical Additive",Concentration
225,M6_C0021,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.15 M","Sodium Citrate","0.1 M",5.6,"PEG 400","7% (v/v)",,,,
229,M6_C0022,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.15 M","Sodium Citrate","0.1 M",5.6,"PEG 400","9% (v/v)",,,,
233,M6_C0023,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.15 M","Sodium Citrate","0.1 M",5.6,"PEG 400","12.5% (v/v)",,,,
237,M6_C0024,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.15 M","Sodium Citrate","0.1 M",5.6,"PEG 400","15% (v/v)",,,,
385,M6_C0025,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.1 M",MES,"0.1 M",6,"PEG 400","20% (v/v)",,,,
389,M6_C0026,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.1 M",MES,"0.1 M",6,"PEG 400","30% (v/v)",,,,
393,M6_C0027,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.1 M",MES,"0.1 M",6,"PEG 400","40% (v/v)",,,,
397,M6_C0028,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.1 M",MES,"0.1 M",6,"PEG 400","50% (v/v)",,,,
401,M6_C0029,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.05 M",MES,"0.1 M",6,"PEG 400","30% (v/v)",,,,
405,M6_C0030,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.2 M",MES,"0.1 M",6,"PEG 400","20% (v/v)",,,,
409,M6_C0031,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.2 M",MES,"0.1 M",6,"PEG 400","30% (v/v)",,,,
413,M6_C0032,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.2 M",MES,"0.1 M",6,"PEG 400","40% (v/v)",,,,
417,M6_C0033,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.2 M",MES,"0.1 M",6,"PEG 400","50% (v/v)",,,,
421,M6_C0034,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.05 M",MES,"0.1 M",6,"PEG 400","15% (v/v)",,,,
425,M6_C0035,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.4 M",MES,"0.1 M",6,"PEG 400","20% (v/v)",,,,
429,M6_C0036,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.4 M",MES,"0.1 M",6,"PEG 400","30% (v/v)",,,,
577,M6_C0037,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.1 M",MES,"0.1 M",6,"PEG 400","10% (v/v)",,,,
581,M6_C0038,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.4 M",MES,"0.1 M",6,"PEG 400","50% (v/v)",,,,
585,M6_C0039,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.1 M",MES,"0.1 M",6,"PEG 400","15% (v/v)",,,,
589,M6_C0040,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.5 M",MES,"0.1 M",6,"PEG 400","20% (v/v)",,,,
593,M6_C0041,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.5 M",MES,"0.1 M",6,"PEG 400","30% (v/v)",,,,
597,M6_C0042,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.5 M",MES,"0.1 M",6,"PEG 400","40% (v/v)",,,,
601,M6_C0043,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.5 M",MES,"0.1 M",6,"PEG 400","50% (v/v)",,,,
605,M6_C0044,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.25 M",MES,"0.1 M",6,"PEG 400","30% (v/v)",,,,
609,M6_C0045,,"Ammonium Sulfate ",(NH4)2SO4,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
613,M6_C0046,,"Ammonium Sulfate ",(NH4)2SO4,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","30% (v/v)",,,,
617,M6_C0047,,"Ammonium Sulfate ",(NH4)2SO4,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","40% (v/v)",,,,
621,M6_C0048,,"Ammonium Sulfate ",(NH4)2SO4,"0.05 M","Sodium Citrate","0.1 M",5.6,"PEG 400","15% (v/v)",,,,
769,M6_C0049,,"Ammonium Sulfate ",(NH4)2SO4,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","30% (v/v)",,,,
773,M6_C0050,,"Ammonium Sulfate ",(NH4)2SO4,"0.05 M","Sodium Citrate","0.1 M",5.6,"PEG 400","30% (v/v)",,,,
777,M6_C0051,,"Ammonium Sulfate ",(NH4)2SO4,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","25% (v/v)",,,,
781,M6_C0052,,"Ammonium Sulfate ",(NH4)2SO4,"0.05 M","Sodium Citrate","0.1 M",5.6,"PEG 400","10% (v/v)",,,,
785,M6_C0053,,"Ammonium Sulfate ",(NH4)2SO4,"0.4 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
789,M6_C0054,,"Ammonium Sulfate ",(NH4)2SO4,"0.4 M","Sodium Citrate","0.1 M",5.6,"PEG 400","30% (v/v)",,,,
793,M6_C0055,,"Ammonium Sulfate ",(NH4)2SO4,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
797,M6_C0056,,"Ammonium Sulfate ",(NH4)2SO4,"0.05 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
801,M6_C0057,,"Ammonium Sulfate ",(NH4)2SO4,"0.05 M","Sodium Citrate","0.1 M",5.6,"PEG 400","40% (v/v)",,,,
805,M6_C0058,,"Ammonium Sulfate ",(NH4)2SO4,"0.5 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
809,M6_C0059,,"Ammonium Sulfate ",(NH4)2SO4,"0.25 M","Sodium Citrate","0.1 M",5.6,"PEG 400","15% (v/v)",,,,
813,M6_C0060,,"Ammonium Sulfate ",(NH4)2SO4,"0.025 M","Sodium Citrate","0.1 M",5.6,"PEG 400","30% (v/v)",,,,
961,M6_C0061,,"Lithium chloride",LiCl,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
965,M6_C0062,,"Lithium Chloride",LiCl,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","30% (v/v)",,,,
969,M6_C0063,,"Lithium chloride",LiCl,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","40% (v/v)",,,,
973,M6_C0064,,"Lithium Chloride",LiCl,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","60% (v/v)",,,,
977,M6_C0065,,"Lithium chloride",LiCl,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
981,M6_C0066,,"Lithium Chloride",LiCl,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","30% (v/v)",,,,
985,M6_C0067,,"Lithium chloride",LiCl,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","40% (v/v)",,,,
989,M6_C0068,,"Lithium Chloride",LiCl,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","60% (v/v)",,,,
993,M6_C0069,,"Lithium chloride",LiCl,"0.4 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
997,M6_C0070,,"Lithium Chloride",LiCl,"0.4 M","Sodium Citrate","0.1 M",5.6,"PEG 400","30% (v/v)",,,,
1001,M6_C0071,,"Lithium chloride",LiCl,"0.4 M","Sodium Citrate","0.1 M",5.6,"PEG 400","40% (v/v)",,,,
1005,M6_C0072,,"Lithium Chloride",LiCl,"0.4 M","Sodium Citrate","0.1 M",5.6,"PEG 400","50% (v/v)",,,,
1153,M6_C0073,,"Potassium Chloride",KCl,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
1157,M6_C0074,,"Potassium Chloride",KCl,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","30% (v/v)",,,,
1161,M6_C0075,,"Potassium Chloride",KCl,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","40% (v/v)",,,,
1165,M6_C0076,,"Potassium Chloride",KCl,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","50% (v/v)",,,,
1169,M6_C0077,,"Potassium Chloride",KCl,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
1173,M6_C0078,,"Potassium Chloride",KCl,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","30% (v/v)",,,,
1177,M6_C0079,,"Potassium Chloride",KCl,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","40% (v/v)",,,,
1181,M6_C0080,,"Potassium Chloride",KCl,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","50% (v/v)",,,,
1185,M6_C0081,,"Potassium Chloride",KCl,"0.4 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
1189,M6_C0082,,"Potassium Chloride",KCl,"0.4 M","Sodium Citrate","0.1 M",5.6,"PEG 400","30% (v/v)",,,,
1193,M6_C0083,,"Potassium Chloride",KCl,"0.4 M","Sodium Citrate","0.1 M",5.6,"PEG 400","40% (v/v)",,,,
1197,M6_C0084,,"Potassium Chloride",KCl,"0.4 M","Sodium Citrate","0.1 M",5.6,"PEG 400","50% (v/v)",,,,
1345,M6_C0085,,"Sodium Chloride",NaCl,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
1349,M6_C0086,,"Sodium Chloride",NaCl,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","30% (v/v)",,,,
1353,M6_C0087,,"Sodium Chloride",NaCl,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","40% (v/v)",,,,
1357,M6_C0088,,"Sodium Chloride",NaCl,"0.05 M","Sodium Citrate","0.1 M",5.6,"PEG 400","25% (v/v)",,,,
1361,M6_C0089,,"Sodium Chloride",NaCl,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
1365,M6_C0090,,"Sodium Chloride",NaCl,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","30% (v/v)",,,,
1369,M6_C0091,,"Sodium Chloride",NaCl,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","40% (v/v)",,,,
1373,M6_C0092,,"Sodium Chloride",NaCl,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","25% (v/v)",,,,
1377,M6_C0093,,"Sodium Chloride",NaCl,"0.4 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
1381,M6_C0094,,"Sodium Chloride",NaCl,"0.4 M","Sodium Citrate","0.1 M",5.6,"PEG 400","30% (v/v)",,,,
1385,M6_C0095,,"Sodium Chloride",NaCl,"0.4 M","Sodium Citrate","0.1 M",5.6,"PEG 400","40% (v/v)",,,,
1389,M6_C0096,,"Sodium Chloride",NaCl,"0.4 M","Sodium Citrate","0.1 M",5.6,"PEG 400","10% (v/v)",,,,
97,M6_C0097,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.1 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
101,M6_C0098,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.1 M",HEPES,"0.1 M",7,"PEG 400","28% (v/v)",,,,
105,M6_C0099,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.1 M",HEPES,"0.1 M",7,"PEG 400","36% (v/v)",,,,
109,M6_C0100,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.2 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
113,M6_C0101,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.2 M",HEPES,"0.1 M",7,"PEG 400","28% (v/v)",,,,
117,M6_C0102,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.1 M",HEPES,"0.1 M",7,"PEG 400","18% (v/v)",,,,
121,M6_C0103,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.3 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
125,M6_C0104,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.3 M",HEPES,"0.1 M",7,"PEG 400","28% (v/v)",,,,
129,M6_C0105,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.15 M",HEPES,"0.1 M",7,"PEG 400","18% (v/v)",,,,
133,M6_C0106,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.4 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
137,M6_C0107,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.2 M",HEPES,"0.1 M",7,"PEG 400","14% (v/v)",,,,
141,M6_C0108,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.2 M",HEPES,"0.1 M",7,"PEG 400","18% (v/v)",,,,
289,M6_C0109,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.2 M",HEPES,"0.1 M",7,"PEG 400","25% (v/v)",,,,
293,M6_C0110,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.2 M",HEPES,"0.1 M",7,"PEG 400","30% (v/v)",,,,
297,M6_C0111,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.5 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
301,M6_C0112,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.25 M",HEPES,"0.1 M",7,"PEG 400","14% (v/v)",,,,
305,M6_C0113,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.25 M",HEPES,"0.1 M",7,"PEG 400","18% (v/v)",,,,
309,M6_C0114,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.25 M",HEPES,"0.1 M",7,"PEG 400","25% (v/v)",,,,
313,M6_C0115,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.125 M",HEPES,"0.1 M",7,"PEG 400","15% (v/v)",,,,
317,M6_C0116,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.6 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
321,M6_C0117,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.3 M",HEPES,"0.1 M",7,"PEG 400","14% (v/v)",,,,
325,M6_C0118,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.3 M",HEPES,"0.1 M",7,"PEG 400","18% (v/v)",,,,
329,M6_C0119,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.15 M",HEPES,"0.1 M",7,"PEG 400","12.5% (v/v)",,,,
333,M6_C0120,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.15 M",HEPES,"0.1 M",7,"PEG 400","15% (v/v)",,,,
481,M6_C0121,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.1 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
485,M6_C0122,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.05 M",HEPES,"0.1 M",7,"PEG 400","30% (v/v)",,,,
489,M6_C0123,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.1 M",HEPES,"0.1 M",7,"PEG 400","40% (v/v)",,,,
493,M6_C0124,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.1 M",HEPES,"0.1 M",7,"PEG 400","50% (v/v)",,,,
497,M6_C0125,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.1 M",HEPES,"0.1 M",7,"PEG 400","60% (v/v)",,,,
501,M6_C0126,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.2 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
505,M6_C0127,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.2 M",HEPES,"0.1 M",7,"PEG 400","30% (v/v)",,,,
509,M6_C0128,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.2 M",HEPES,"0.1 M",7,"PEG 400","40% (v/v)",,,,
513,M6_C0129,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.1 M",HEPES,"0.1 M",7,"PEG 400","25% (v/v)",,,,
517,M6_C0130,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.1 M",HEPES,"0.1 M",7,"PEG 400","30% (v/v)",,,,
521,M6_C0131,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.4 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
525,M6_C0132,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.4 M",HEPES,"0.1 M",7,"PEG 400","30% (v/v)",,,,
673,M6_C0133,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.4 M",HEPES,"0.1 M",7,"PEG 400","40% (v/v)",,,,
677,M6_C0134,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.4 M",HEPES,"0.1 M",7,"PEG 400","50% (v/v)",,,,
681,M6_C0135,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.4 M",HEPES,"0.1 M",7,"PEG 400","15% (v/v)",,,,
685,M6_C0136,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.5 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
689,M6_C0137,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.5 M",HEPES,"0.1 M",7,"PEG 400","30% (v/v)",,,,
693,M6_C0138,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.5 M",HEPES,"0.1 M",7,"PEG 400","40% (v/v)",,,,
697,M6_C0139,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.5 M",HEPES,"0.1 M",7,"PEG 400","10% (v/v)",,,,
701,M6_C0140,,"Magnesium Chloride hexahydrate","MgCl2 * 6H2O","0.5 M",HEPES,"0.1 M",7,"PEG 400","15% (v/v)",,,,
705,M6_C0141,,"Ammonium Sulfate ",(NH4)2SO4,"0.1 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
709,M6_C0142,,"Ammonium Sulfate ",(NH4)2SO4,"0.1 M",HEPES,"0.1 M",7,"PEG 400","30% (v/v)",,,,
713,M6_C0143,,"Ammonium Sulfate ",(NH4)2SO4,"0.1 M",HEPES,"0.1 M",7,"PEG 400","40% (v/v)",,,,
717,M6_C0144,,"Ammonium Sulfate ",(NH4)2SO4,"0.2 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
865,M6_C0145,,"Ammonium Sulfate ",(NH4)2SO4,"0.2 M",HEPES,"0.1 M",7,"PEG 400","30% (v/v)",,,,
869,M6_C0146,,"Ammonium Sulfate ",(NH4)2SO4,"0.2 M",HEPES,"0.1 M",7,"PEG 400","40% (v/v)",,,,
873,M6_C0147,,"Ammonium Sulfate ",(NH4)2SO4,"0.2 M",HEPES,"0.1 M",7,"PEG 400","50% (v/v)",,,,
877,M6_C0148,,"Ammonium Sulfate ",(NH4)2SO4,"0.2 M",HEPES,"0.1 M",7,"PEG 400","10% (v/v)",,,,
881,M6_C0149,,"Ammonium Sulfate ",(NH4)2SO4,"0.4 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
885,M6_C0150,,"Ammonium Sulfate ",(NH4)2SO4,"0.4 M",HEPES,"0.1 M",7,"PEG 400","30% (v/v)",,,,
889,M6_C0151,,"Ammonium Sulfate ",(NH4)2SO4,"0.4 M",HEPES,"0.1 M",7,"PEG 400","40% (v/v)",,,,
893,M6_C0152,,"Ammonium Sulfate ",(NH4)2SO4,"0.4 M",HEPES,"0.1 M",7,"PEG 400","10% (v/v)",,,,
897,M6_C0153,,"Ammonium Sulfate ",(NH4)2SO4,"0.4 M",HEPES,"0.1 M",7,"PEG 400","15% (v/v)",,,,
901,M6_C0154,,"Ammonium Sulfate ",(NH4)2SO4,"0.5 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
905,M6_C0155,,"Ammonium Sulfate ",(NH4)2SO4,"0.5 M",HEPES,"0.1 M",7,"PEG 400","30% (v/v)",,,,
909,M6_C0156,,"Ammonium Sulfate ",(NH4)2SO4,"0.25 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
1057,M6_C0157,,"Calcium Chloride dihydrate","CaCl2 * 2H2O","0.1 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
1061,M6_C0158,,"Calcium Chloride dihydrate","CaCl2 * 2H2O","0.1 M",HEPES,"0.1 M",7,"PEG 400","30% (v/v)",,,,
1065,M6_C0159,,"Calcium Chloride dihydrate","CaCl2 * 2H2O","0.1 M",HEPES,"0.1 M",7,"PEG 400","40% (v/v)",,,,
1069,M6_C0160,,"Calcium Chloride dihydrate","CaCl2 * 2H2O","0.1 M",HEPES,"0.1 M",7,"PEG 400","10% (v/v)",,,,
1073,M6_C0161,,"Calcium Chloride dihydrate","CaCl2 * 2H2O","0.2 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
1077,M6_C0162,,"Calcium Chloride dihydrate","CaCl2 * 2H2O","0.2 M",HEPES,"0.1 M",7,"PEG 400","30% (v/v)",,,,
1081,M6_C0163,,"Calcium Chloride dihydrate","CaCl2 * 2H2O","0.2 M",HEPES,"0.1 M",7,"PEG 400","40% (v/v)",,,,
1085,M6_C0164,,"Calcium Chloride dihydrate","CaCl2 * 2H2O","0.2 M",HEPES,"0.1 M",7,"PEG 400","60% (v/v)",,,,
1089,M6_C0165,,"Calcium Chloride dihydrate","CaCl2 * 2H2O","0.4 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
1093,M6_C0166,,"Calcium Chloride dihydrate","CaCl2 * 2H2O","0.4 M",HEPES,"0.1 M",7,"PEG 400","30% (v/v)",,,,
1097,M6_C0167,,"Calcium Chloride dihydrate","CaCl2 * 2H2O","0.4 M",HEPES,"0.1 M",7,"PEG 400","40% (v/v)",,,,
1101,M6_C0168,,"Calcium Chloride dihydrate","CaCl2 * 2H2O","0.4 M",HEPES,"0.1 M",7,"PEG 400","60% (v/v)",,,,
1249,M6_C0169,,"Potassium Chloride",KCl,"0.1 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
1253,M6_C0170,,"Potassium Chloride",KCl,"0.1 M",HEPES,"0.1 M",7,"PEG 400","30% (v/v)",,,,
1257,M6_C0171,,"Potassium Chloride",KCl,"0.1 M",HEPES,"0.1 M",7,"PEG 400","40% (v/v)",,,,
1261,M6_C0172,,"Potassium Chloride",KCl,"0.1 M",HEPES,"0.1 M",7,"PEG 400","50% (v/v)",,,,
1265,M6_C0173,,"Potassium Chloride",KCl,"0.2 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
1269,M6_C0174,,"Potassium Chloride",KCl,"0.2 M",HEPES,"0.1 M",7,"PEG 400","30% (v/v)",,,,
1273,M6_C0175,,"Potassium Chloride",KCl,"0.2 M",HEPES,"0.1 M",7,"PEG 400","40% (v/v)",,,,
1277,M6_C0176,,"Potassium Chloride",KCl,"0.2 M",HEPES,"0.1 M",7,"PEG 400","50% (v/v)",,,,
1281,M6_C0177,,"Potassium Chloride",KCl,"0.4 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
1285,M6_C0178,,"Potassium Chloride",KCl,"0.4 M",HEPES,"0.1 M",7,"PEG 400","30% (v/v)",,,,
1289,M6_C0179,,"Potassium Chloride",KCl,"0.4 M",HEPES,"0.1 M",7,"PEG 400","40% (v/v)",,,,
1293,M6_C0180,,"Potassium Chloride",KCl,"0.4 M",HEPES,"0.1 M",7,"PEG 400","50% (v/v)",,,,
1441,M6_C0181,,"Sodium Chloride",NaCl,"0.1 M",HEPES,"0.1 M",7,"PEG 400","20% (v/v)",,,,
