Composite List,,,,,,,,,,,,,,,,
Well position in plate,Cocktail #,Commercial Code,Chemical Additive,Chemical Formula,Concentration,Chemical Additive,Concentration,pH,Chemical Additive,Concentration,Chemical Additive,Concentration,Chemical Additive,Concentration,Chemical Additive,Concentration
233,22_C0023,HR Slice pH B11,,,,Succinic acid,0.5 M,6,PEG 3350,15% (w/v),,,,,,
237,22_C0024,HR Slice pH B12,,,,Sodium cacodylate trihydrate,0.5 M,5.2,PEG 3350,15% (w/v),,,,,,
385,22_C0025,HR Slice pH C1,,,,Sodium cacodylate trihydrate,0.5 M,5.5,PEG 3350,15% (w/v),,,,,,
389,22_C0026,HR Slice pH C2,,,,Sodium cacodylate trihydrate,0.5 M,5.8,PEG 3350,15% (w/v),,,,,,
393,22_C0027,HR Slice pH C3,,,,Sodium cacodylate trihydrate,0.5 M,6.1,PEG 3350,15% (w/v),,,,,,
397,22_C0028,HR Slice pH C4,,,,Sodium cacodylate trihydrate,0.5 M,6.4,PEG 3350,15% (w/v),,,,,,
401,22_C0029,HR Slice pH C5,,,,MES monohydrate,0.5 M,5.3,PEG 3350,15% (w/v),,,,,,
405,22_C0030,HR Slice pH C6,,,,MES monohydrate,0.5 M,5.6,PEG 3350,15% (w/v),,,,,,
409,22_C0031,HR Slice pH C7,,,,MES monohydrate,0.5 M,5.9,PEG 3350,15% (w/v),,,,,,
413,22_C0032,HR Slice pH C8,,,,MES monohydrate,0.5 M,6.2,PEG 3350,15% (w/v),,,,,,
417,22_C0033,HR Slice pH C9,,,,MES monohydrate,0.5 M,6.5,PEG 3350,15% (w/v),,,,,,
421,22_C0034,HR Slice pH C10,,,,BIS-TRIS,0.5 M,5.7,PEG 3350,15% (w/v),,,,,,
425,22_C0035,HR Slice pH C11,,,,BIS-TRIS,0.5 M,6,PEG 3350,15% (w/v),,,,,,
429,22_C0036,HR Slice pH C12,,,,BIS-TRIS,0.5 M,6.3,PEG 3350,15% (w/v),,,,,,
577,22_C0037,HR Slice pH D1,,,,BIS-TRIS,0.5 M,6.6,PEG 3350,15% (w/v),,,,,,
581,22_C0038,HR Slice pH D2,,,,BIS-TRIS,0.5 M,6.9,PEG 3350,15% (w/v),,,,,,
585,22_C0039,HR Slice pH D3,,,,ADA,0.5 M,5.8,PEG 3350,15% (w/v),,,,,,
589,22_C0040,HR Slice pH D4,,,,ADA,0.5 M,6.1,PEG 3350,15% (w/v),,,,,,
593,22_C0041,HR Slice pH D5,,,,ADA,0.5 M,6.4,PEG 3350,15% (w/v),,,,,,
597,22_C0042,HR Slice pH D6,,,,ADA,0.5 M,6.7,PEG 3350,15% (w/v),,,,,,
601,22_C0043,HR Slice pH D7,,,,ADA,0.5 M,7,PEG 3350,15% (w/v),,,,,,
605,22_C0044,HR Slice pH D8,,,,Imidazole,0.5 M,6.2,PEG 3350,15% (w/v),,,,,,
609,22_C0045,HR Slice pH D9,,,,Imidazole,0.5 M,6.5,PEG 3350,15% (w/v),,,,,,
613,22_C0046,HR Slice pH D10,,,,Imidazole,0.5 M,6.8,PEG 3350,15% (w/v),,,,,,
617,22_C0047,HR Slice pH D11,,,,Imidazole,0.5 M,7.1,PEG 3350,15% (w/v),,,,,,
621,22_C0048,HR Slice pH D12,,,,Imidazole,0.5 M,7.4,PEG 3350,15% (w/v),,,,,,
769,22_C0049,HR Slice pH E1,,,,BIS-TRIS propane,0.5 M,6.4,PEG 3350,15% (w/v),,,,,,
773,22_C0050,HR Slice pH E2,,,,BIS-TRIS propane,0.5 M,6.7,PEG 3350,15% (w/v),,,,,,
777,22_C0051,HR Slice pH E3,,,,BIS-TRIS propane,0.5 M,7,PEG 3350,15% (w/v),,,,,,
781,22_C0052,HR Slice pH E4,,,,BIS-TRIS propane,0.5 M,7.3,PEG 3350,15% (w/v),,,,,,
785,22_C0053,HR Slice pH E5,,,,MOPS,0.5 M,6.5,PEG 3350,15% (w/v),,,,,,
789,22_C0054,HR Slice pH E6,,,,MOPS,0.5 M,6.8,PEG 3350,15% (w/v),,,,,,
793,22_C0055,HR Slice pH E7,,,,MOPS,0.5 M,7.1,PEG 3350,15% (w/v),,,,,,
797,22_C0056,HR Slice pH E8,,,,MOPS,0.5 M,7.4,PEG 3350,15% (w/v),,,,,,
801,22_C0057,HR Slice pH E9,,,,MOPS,0.5 M,7.7,PEG 3350,15% (w/v),,,,,,
805,22_C0058,HR Slice pH E10,,,,HEPES sodium,0.5 M,6.6,PEG 3350,15% (w/v),,,,,,
809,22_C0059,HR Slice pH E11,,,,HEPES sodium,0.5 M,6.9,PEG 3350,15% (w/v),,,,,,
813,22_C0060,HR Slice pH E12,,,,HEPES sodium,0.5 M,7.2,PEG 3350,15% (w/v),,,,,,
961,22_C0061,HR Slice pH F1,,,,HEPES sodium,0.5 M,7.5,PEG 3350,15% (w/v),,,,,,
965,22_C0062,HR Slice pH F2,,,,HEPES,0.5 M,6.8,PEG 3350,15% (w/v),,,,,,
969,22_C0063,HR Slice pH F3,,,,HEPES,0.5 M,7.1,PEG 3350,15% (w/v),,,,,,
973,22_C0064,HR Slice pH F4,,,,HEPES,0.5 M,7.4,PEG 3350,15% (w/v),,,,,,
977,22_C0065,HR Slice pH F5,,,,HEPES,0.5 M,7.7,PEG 3350,15% (w/v),,,,,,
981,22_C0066,HR Slice pH F6,,,,TRIS hydrochloride,0.5 M,7.2,PEG 3350,15% (w/v),,,,,,
985,22_C0067,HR Slice pH F7,,,,TRIS hydrochloride,0.5 M,7.5,PEG 3350,15% (w/v),,,,,,
989,22_C0068,HR Slice pH F8,,,,TRIS hydrochloride,0.5 M,7.8,PEG 3350,15% (w/v),,,,,,
993,22_C0069,HR Slice pH F9,,,,TRIS hydrochloride,0.5 M,8.1,PEG 3350,15% (w/v),,,,,,
997,22_C0070,HR Slice pH F10,,,,TRIS,0.5 M,7.3,PEG 3350,15% (w/v),,,,,,
1001,22_C0071,HR Slice pH F11,,,,TRIS,0.5 M,7.6,PEG 3350,15% (w/v),,,,,,
1005,22_C0072,HR Slice pH F12,,,,TRIS,0.5 M,7.9,PEG 3350,15% (w/v),,,,,,
1153,22_C0073,HR Slice pH G1,,,,TRIS,0.5 M,8.2,PEG 3350,15% (w/v),,,,,,
1157,22_C0074,HR Slice pH G2,,,,TRIS,0.5 M,8.5,PEG 3350,15% (w/v),,,,,,
1161,22_C0075,HR Slice pH G3,,,,Tricine,0.5 M,7.4,PEG 3350,15% (w/v),,,,,,
1165,22_C0076,HR Slice pH G4,,,,Tricine,0.5 M,7.7,PEG 3350,15% (w/v),,,,,,
1169,22_C0077,HR Slice pH G5,,,,Tricine,0.5 M,8,PEG 3350,15% (w/v),,,,,,
1173,22_C0078,HR Slice pH G6,,,,Tricine,0.5 M,8.3,PEG 3350,15% (w/v),,,,,,
1177,22_C0079,HR Slice pH G7,,,,Tricine,0.5 M,8.6,PEG 3350,15% (w/v),,,,,,
1181,22_C0080,HR Slice pH G8,,,,BICINE,0.5 M,7.5,PEG 3350,15% (w/v),,,,,,
1185,22_C0081,HR Slice pH G9,,,,BICINE,0.5 M,7.8,PEG 3350,15% (w/v),,,,,,
1189,22_C0082,HR Slice pH G10,,,,BICINE,0.5 M,8.1,PEG 3350,15% (w/v),,,,,,
1193,22_C0083,HR Slice pH G11,,,,BICINE,0.5 M,8.4,PEG 3350,15% (w/v),,,,,,
1197,22_C0084,HR Slice pH G12,,,,BICINE,0.5 M,8.7,PEG 3350,15% (w/v),,,,,,
1345,22_C0085,HR Slice pH H1,,,,BIS-TRIS propane,0.5 M,8.5,PEG 3350,15% (w/v),,,,,,
1349,22_C0086,HR Slice pH H2,,,,BIS-TRIS propane,0.5 M,8.8,PEG 3350,15% (w/v),,,,,,
1353,22_C0087,HR Slice pH H3,,,,BIS-TRIS propane,0.5 M,9.1,PEG 3350,15% (w/v),,,,,,
1357,22_C0088,HR Slice pH H4,,,,BIS-TRIS propane,0.5 M,9.4,PEG 3350,15% (w/v),,,,,,
1361,22_C0089,HR Slice pH H5,,,,Glycine,0.5 M,8.6,PEG 3350,15% (w/v),,,,,,
1365,22_C0090,HR Slice pH H6,,,,Glycine,0.5 M,8.9,PEG 3350,15% (w/v),,,,,,
1369,22_C0091,HR Slice pH H7,,,,Glycine,0.5 M,9.2,PEG 3350,15% (w/v),,,,,,
1373,22_C0092,HR Slice pH H8,,,,Glycine,0.5 M,9.5,PEG 3350,15% (w/v),,,,,,
1377,22_C0093,HR Slice pH H9,,,,AMPD,0.5 M,8.7,PEG 3350,15% (w/v),,,,,,
1381,22_C0094,HR Slice pH H10,,,,AMPD,0.5 M,9,PEG 3350,15% (w/v),,,,,,
1385,22_C0095,HR Slice pH H11,,,,AMPD,0.5 M,9.3,PEG 3350,15% (w/v),,,,,,
1389,22_C0096,HR Slice pH H12,,,,AMPD,0.5 M,9.6,PEG 3350,15% (w/v),,,,,,
97,22_C0097,HR Ionic Liquid 1,Tetraethylammonium bromide,C8H20BrN,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
101,22_C0098,HR Ionic Liquid 2,Benzyltriethylammonium chloride,C13H22ClN,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
105,22_C0099,HR Ionic Liquid 3,2-Hydroxyethylammonium formate,C3H9NO3,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
109,22_C0100,HR Ionic Liquid 4,Ethylammonium nitrate,C2H8N2O3,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
113,22_C0101,HR Ionic Liquid 5,Cholin acetate,C7H17NO3,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
117,22_C0102,HR Ionic Liquid 6,Choline dihydrogen phosphate,C5H16NPO5,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
121,22_C0103,HR Ionic Liquid 7,1-Ethyl-3-methylimidazolium acetate,C8H14N2O2,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
125,22_C0104,HR Ionic Liquid 8,1-Butyl-3-methylimidazolium chloride,C8H15ClN2,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
129,22_C0105,HR Ionic Liquid 9,1-Ethyl-3-methylimidazolium chloride,C6H11ClN2,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
133,22_C0106,HR Ionic Liquid 10,1-Hexyl-3-methylimidazolium chloride,C10H19ClN2,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
137,22_C0107,HR Ionic Liquid 11,1-Butyl-3-methylimidazolium dicyanamide,C10H15N5,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
141,22_C0108,HR Ionic Liquid 12,"1,3-Dimethylimidazolium dimethyl phosphate",C7H15N2O4P,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
289,22_C0109,HR Ionic Liquid 13,"1,3-Dimethylimidazolium methyl sulfate",C6H12N2O4S,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
293,22_C0110,HR Ionic Liquid 14,1-Butyl-3-methylimidazolium methyl sulfate,C9H18N2O4S,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
297,22_C0111,HR Ionic Liquid 15,1-n-Butyl-3-methylimidazolium n-octylsulfate,C16H32N2O4S,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
301,22_C0112,HR Ionic Liquid 16,1-Ethyl-3-methylimidazolium ethyl sulfate,C7H11N3S,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
305,22_C0113,HR Ionic Liquid 17,1-Ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
309,22_C0114,HR Ionic Liquid 18,"1-Butyl-2,3-dimethylimidazolium tetrafluoroborate",C9H17BF4N2,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
313,22_C0115,HR Ionic Liquid 19,1-Butyl-3-methylimidazolium tetrafluoroborate,C8H15BF4N2,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
317,22_C0116,HR Ionic Liquid 20,1-Butyl-3-methylimidazolium trifluoroacetate,C10H15F3N2O2,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
321,22_C0117,HR Ionic Liquid 21,1-Ethyl-3-methylimidazolium trifluoromethanesulfonate,C7H11F3N2O3S,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
325,22_C0118,HR Ionic Liquid 22,Tetrabutylphosphonium bromide,C16H36BrP,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
329,22_C0119,HR Ionic Liquid 23,Triisobutylmethylphosphonium tosylate,C20H37O3PS,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
333,22_C0120,HR Ionic Liquid 24,1-Butylpyridinium chloride,C9H14ClN,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
481,22_C0121,HR Ionic Liquid 1,Tetraethylammonium bromide,C8H20BrN,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
485,22_C0122,HR Ionic Liquid 2,Benzyltriethylammonium chloride,C13H22ClN,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
489,22_C0123,HR Ionic Liquid 3,2-Hydroxyethylammonium formate,C3H9NO3,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
493,22_C0124,HR Ionic Liquid 4,Ethylammonium nitrate,C2H8N2O3,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
497,22_C0125,HR Ionic Liquid 5,Cholin acetate,C7H17NO3,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
501,22_C0126,HR Ionic Liquid 6,Choline dihydrogen phosphate,C5H16NPO5,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
505,22_C0127,HR Ionic Liquid 7,1-Ethyl-3-methylimidazolium acetate,C8H14N2O2,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
509,22_C0128,HR Ionic Liquid 8,1-Butyl-3-methylimidazolium chloride,C8H15ClN2,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
513,22_C0129,HR Ionic Liquid 9,1-Ethyl-3-methylimidazolium chloride,C6H11ClN2,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
517,22_C0130,HR Ionic Liquid 10,1-Hexyl-3-methylimidazolium chloride,C10H19ClN2,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
521,22_C0131,HR Ionic Liquid 11,1-Butyl-3-methylimidazolium dicyanamide,C10H15N5,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
525,22_C0132,HR Ionic Liquid 12,"1,3-Dimethylimidazolium dimethyl phosphate",C7H15N2O4P,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
673,22_C0133,HR Ionic Liquid 13,"1,3-Dimethylimidazolium methyl sulfate",C6H12N2O4S,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
677,22_C0134,HR Ionic Liquid 14,1-Butyl-3-methylimidazolium methyl sulfate,C9H18N2O4S,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
681,22_C0135,HR Ionic Liquid 15,1-n-Butyl-3-methylimidazolium n-octylsulfate,C16H32N2O4S,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
685,22_C0136,HR Ionic Liquid 16,1-Ethyl-3-methylimidazolium ethyl sulfate,C7H11N3S,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
689,22_C0137,HR Ionic Liquid 17,1-Ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
693,22_C0138,HR Ionic Liquid 18,"1-Butyl-2,3-dimethylimidazolium tetrafluoroborate",C9H17BF4N2,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
697,22_C0139,HR Ionic Liquid 19,1-Butyl-3-methylimidazolium tetrafluoroborate,C8H15BF4N2,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
701,22_C0140,HR Ionic Liquid 20,1-Butyl-3-methylimidazolium trifluoroacetate,C10H15F3N2O2,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
705,22_C0141,HR Ionic Liquid 21,1-Ethyl-3-methylimidazolium trifluoromethanesulfonate,C7H11F3N2O3S,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
709,22_C0142,HR Ionic Liquid 22,Tetrabutylphosphonium bromide,C16H36BrP,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
713,22_C0143,HR Ionic Liquid 23,Triisobutylmethylphosphonium tosylate,C20H37O3PS,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
717,22_C0144,HR Ionic Liquid 24,1-Butylpyridinium chloride,C9H14ClN,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
865,22_C0145,HR Ionic Liquid 1,Tetraethylammonium bromide,C8H20BrN,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
869,22_C0146,HR Ionic Liquid 2,Benzyltriethylammonium chloride,C13H22ClN,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
873,22_C0147,HR Ionic Liquid 3,2-Hydroxyethylammonium formate,C3H9NO3,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
877,22_C0148,HR Ionic Liquid 4,Ethylammonium nitrate,C2H8N2O3,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
881,22_C0149,HR Ionic Liquid 5,Cholin acetate,C7H17NO3,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
885,22_C0150,HR Ionic Liquid 6,Choline dihydrogen phosphate,C5H16NPO5,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
889,22_C0151,HR Ionic Liquid 7,1-Ethyl-3-methylimidazolium acetate,C8H14N2O2,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
893,22_C0152,HR Ionic Liquid 8,1-Butyl-3-methylimidazolium chloride,C8H15ClN2,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
897,22_C0153,HR Ionic Liquid 9,1-Ethyl-3-methylimidazolium chloride,C6H11ClN2,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
901,22_C0154,HR Ionic Liquid 10,1-Hexyl-3-methylimidazolium chloride,C10H19ClN2,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
905,22_C0155,HR Ionic Liquid 11,1-Butyl-3-methylimidazolium dicyanamide,C10H15N5,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
909,22_C0156,HR Ionic Liquid 12,"1,3-Dimethylimidazolium dimethyl phosphate",C7H15N2O4P,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
1057,22_C0157,HR Ionic Liquid 13,"1,3-Dimethylimidazolium methyl sulfate",C6H12N2O4S,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
1061,22_C0158,HR Ionic Liquid 14,1-Butyl-3-methylimidazolium methyl sulfate,C9H18N2O4S,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
1065,22_C0159,HR Ionic Liquid 15,1-n-Butyl-3-methylimidazolium n-octylsulfate,C16H32N2O4S,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
1069,22_C0160,HR Ionic Liquid 16,1-Ethyl-3-methylimidazolium ethyl sulfate,C7H11N3S,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
1073,22_C0161,HR Ionic Liquid 17,1-Ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
1077,22_C0162,HR Ionic Liquid 18,"1-Butyl-2,3-dimethylimidazolium tetrafluoroborate",C9H17BF4N2,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
1081,22_C0163,HR Ionic Liquid 19,1-Butyl-3-methylimidazolium tetrafluoroborate,C8H15BF4N2,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
1085,22_C0164,HR Ionic Liquid 20,1-Butyl-3-methylimidazolium trifluoroacetate,C10H15F3N2O2,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
1089,22_C0165,HR Ionic Liquid 21,1-Ethyl-3-methylimidazolium trifluoromethanesulfonate,C7H11F3N2O3S,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
1093,22_C0166,HR Ionic Liquid 22,Tetrabutylphosphonium bromide,C16H36BrP,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
1097,22_C0167,HR Ionic Liquid 23,Triisobutylmethylphosphonium tosylate,C20H37O3PS,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
1101,22_C0168,HR Ionic Liquid 24,1-Butylpyridinium chloride,C9H14ClN,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
1249,22_C0169,HR Ionic Liquid 1,Tetraethylammonium bromide,C8H20BrN,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1253,22_C0170,HR Ionic Liquid 2,Benzyltriethylammonium chloride,C13H22ClN,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1257,22_C0171,HR Ionic Liquid 3,2-Hydroxyethylammonium formate,C3H9NO3,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1261,22_C0172,HR Ionic Liquid 4,Ethylammonium nitrate,C2H8N2O3,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1265,22_C0173,HR Ionic Liquid 5,Cholin acetate,C7H17NO3,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1269,22_C0174,HR Ionic Liquid 6,Choline dihydrogen phosphate,C5H16NPO5,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1273,22_C0175,HR Ionic Liquid 7,1-Ethyl-3-methylimidazolium acetate,C8H14N2O2,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1277,22_C0176,HR Ionic Liquid 8,1-Butyl-3-methylimidazolium chloride,C8H15ClN2,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1281,22_C0177,HR Ionic Liquid 9,1-Ethyl-3-methylimidazolium chloride,C6H11ClN2,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1285,22_C0178,HR Ionic Liquid 10,1-Hexyl-3-methylimidazolium chloride,C10H19ClN2,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1289,22_C0179,HR Ionic Liquid 11,1-Butyl-3-methylimidazolium dicyanamide,C10H15N5,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1293,22_C0180,HR Ionic Liquid 12,"1,3-Dimethylimidazolium dimethyl phosphate",C7H15N2O4P,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1441,22_C0181,HR Ionic Liquid 13,"1,3-Dimethylimidazolium methyl sulfate",C6H12N2O4S,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
