Composite List,,,,,,,,,,,,,,,,
Well position in plate,Cocktail #,Commercial Code,Chemical Additive,Chemical Formula,Concentration,Chemical Additive,Concentration,pH,Chemical Additive,Concentration,Chemical Additive,Concentration,Chemical Additive,Concentration,Chemical Additive,Concentration
129,21_C0105,HR Ionic Liquid 9,1-Ethyl-3-methylimidazolium chloride,C6H11ClN2,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
133,21_C0106,HR Ionic Liquid 10,1-Hexyl-3-methylimidazolium chloride,C10H19ClN2,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
137,21_C0107,HR Ionic Liquid 11,1-Butyl-3-methylimidazolium dicyanamide,C10H15N5,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
141,21_C0108,HR Ionic Liquid 12,"1,3-Dimethylimidazolium dimethyl phosphate",C7H15N2O4P,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
289,21_C0109,HR Ionic Liquid 13,"1,3-Dimethylimidazolium methyl sulfate",C6H12N2O4S,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
293,21_C0110,HR Ionic Liquid 14,1-Butyl-3-methylimidazolium methyl sulfate,C9H18N2O4S,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
297,21_C0111,HR Ionic Liquid 15,1-n-Butyl-3-methylimidazolium n-octylsulfate,C16H32N2O4S,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
301,21_C0112,HR Ionic Liquid 16,1-Ethyl-3-methylimidazolium thiocyanate,C7H11N3S,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
305,21_C0113,HR Ionic Liquid 17,1-Ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
309,21_C0114,HR Ionic Liquid 18,"1-Butyl-2,3-dimethylimidazolium tetrafluoroborate",C9H17BF4N2,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
313,21_C0115,HR Ionic Liquid 19,1-Butyl-3-methylimidazolium tetrafluoroborate,C8H15BF4N2,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
317,21_C0116,HR Ionic Liquid 20,1-Butyl-3-methylimidazolium trifluoroacetate,C10H15F3N2O2,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
321,21_C0117,HR Ionic Liquid 21,1-Ethyl-3-methylimidazolium trifluoromethanesulfonate,C7H11F3N2O3S,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
325,21_C0118,HR Ionic Liquid 22,Tetrabutylphosphonium bromide,C16H36BrP,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
329,21_C0119,HR Ionic Liquid 23,Triisobutylmethylphosphonium tosylate,C20H37O3PS,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
333,21_C0120,HR Ionic Liquid 24,1-Butylpyridinium chloride,C9H14ClN,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
481,21_C0121,HR Ionic Liquid 1,Tetraethylammonium bromide,C8H20BrN,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
485,21_C0122,HR Ionic Liquid 2,Benzyltriethylammonium chloride,C13H22ClN,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
489,21_C0123,HR Ionic Liquid 3,2-Hydroxyethylammonium formate,C3H9NO3,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
493,21_C0124,HR Ionic Liquid 4,Ethylammonium nitrate,C2H8N2O3,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
497,21_C0125,HR Ionic Liquid 5,Cholin acetate,C7H17NO3,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
501,21_C0126,HR Ionic Liquid 6,Choline dihydrogen phosphate,C5H16NPO5,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
505,21_C0127,HR Ionic Liquid 7,1-Ethyl-3-methylimidazolium acetate,C8H14N2O2,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
509,21_C0128,HR Ionic Liquid 8,1-Butyl-3-methylimidazolium chloride,C8H15ClN2,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
513,21_C0129,HR Ionic Liquid 9,1-Ethyl-3-methylimidazolium chloride,C6H11ClN2,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
517,21_C0130,HR Ionic Liquid 10,1-Hexyl-3-methylimidazolium chloride,C10H19ClN2,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
521,21_C0131,HR Ionic Liquid 11,1-Butyl-3-methylimidazolium dicyanamide,C10H15N5,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
525,21_C0132,HR Ionic Liquid 12,"1,3-Dimethylimidazolium dimethyl phosphate",C7H15N2O4P,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
673,21_C0133,HR Ionic Liquid 13,"1,3-Dimethylimidazolium methyl sulfate",C6H12N2O4S,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
677,21_C0134,HR Ionic Liquid 14,1-Butyl-3-methylimidazolium methyl sulfate,C9H18N2O4S,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
681,21_C0135,HR Ionic Liquid 15,1-n-Butyl-3-methylimidazolium n-octylsulfate,C16H32N2O4S,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
685,21_C0136,HR Ionic Liquid 16,1-Ethyl-3-methylimidazolium thiocyanate,C7H11N3S,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
689,21_C0137,HR Ionic Liquid 17,1-Ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
693,21_C0138,HR Ionic Liquid 18,"1-Butyl-2,3-dimethylimidazolium tetrafluoroborate",C9H17BF4N2,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
697,21_C0139,HR Ionic Liquid 19,1-Butyl-3-methylimidazolium tetrafluoroborate,C8H15BF4N2,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
701,21_C0140,HR Ionic Liquid 20,1-Butyl-3-methylimidazolium trifluoroacetate,C10H15F3N2O2,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
705,21_C0141,HR Ionic Liquid 21,1-Ethyl-3-methylimidazolium trifluoromethanesulfonate,C7H11F3N2O3S,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
709,21_C0142,HR Ionic Liquid 22,Tetrabutylphosphonium bromide,C16H36BrP,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
713,21_C0143,HR Ionic Liquid 23,Triisobutylmethylphosphonium tosylate,C20H37O3PS,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
717,21_C0144,HR Ionic Liquid 24,1-Butylpyridinium chloride,C9H14ClN,5% w/v,HEPES,0.09 M,6.8,PEG 3350,27% (w/v),,,,,,
865,21_C0145,HR Ionic Liquid 1,Tetraethylammonium bromide,C8H20BrN,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
869,21_C0146,HR Ionic Liquid 2,Benzyltriethylammonium chloride,C13H22ClN,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
873,21_C0147,HR Ionic Liquid 3,2-Hydroxyethylammonium formate,C3H9NO3,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
877,21_C0148,HR Ionic Liquid 4,Ethylammonium nitrate,C2H8N2O3,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
881,21_C0149,HR Ionic Liquid 5,Cholin acetate,C7H17NO3,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
885,21_C0150,HR Ionic Liquid 6,Choline dihydrogen phosphate,C5H16NPO5,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
889,21_C0151,HR Ionic Liquid 7,1-Ethyl-3-methylimidazolium acetate,C8H14N2O2,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
893,21_C0152,HR Ionic Liquid 8,1-Butyl-3-methylimidazolium chloride,C8H15ClN2,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
897,21_C0153,HR Ionic Liquid 9,1-Ethyl-3-methylimidazolium chloride,C6H11ClN2,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
901,21_C0154,HR Ionic Liquid 10,1-Hexyl-3-methylimidazolium chloride,C10H19ClN2,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
905,21_C0155,HR Ionic Liquid 11,1-Butyl-3-methylimidazolium dicyanamide,C10H15N5,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
909,21_C0156,HR Ionic Liquid 12,"1,3-Dimethylimidazolium dimethyl phosphate",C7H15N2O4P,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
1057,21_C0157,HR Ionic Liquid 13,"1,3-Dimethylimidazolium methyl sulfate",C6H12N2O4S,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
1061,21_C0158,HR Ionic Liquid 14,1-Butyl-3-methylimidazolium methyl sulfate,C9H18N2O4S,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
1065,21_C0159,HR Ionic Liquid 15,1-n-Butyl-3-methylimidazolium n-octylsulfate,C16H32N2O4S,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
1069,21_C0160,HR Ionic Liquid 16,1-Ethyl-3-methylimidazolium thiocyanate,C7H11N3S,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
1073,21_C0161,HR Ionic Liquid 17,1-Ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
1077,21_C0162,HR Ionic Liquid 18,"1-Butyl-2,3-dimethylimidazolium tetrafluoroborate",C9H17BF4N2,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
1081,21_C0163,HR Ionic Liquid 19,1-Butyl-3-methylimidazolium tetrafluoroborate,C8H15BF4N2,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
1085,21_C0164,HR Ionic Liquid 20,1-Butyl-3-methylimidazolium trifluoroacetate,C10H15F3N2O2,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
1089,21_C0165,HR Ionic Liquid 21,1-Ethyl-3-methylimidazolium trifluoromethanesulfonate,C7H11F3N2O3S,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
1093,21_C0166,HR Ionic Liquid 22,Tetrabutylphosphonium bromide,C16H36BrP,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
1097,21_C0167,HR Ionic Liquid 23,Triisobutylmethylphosphonium tosylate,C20H37O3PS,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
1101,21_C0168,HR Ionic Liquid 24,1-Butylpyridinium chloride,C9H14ClN,5% w/v,BIS-TRIS propane,0.09 M,7.8,PEG 3350,27% (w/v),,,,,,
1249,21_C0169,HR Ionic Liquid 1,Tetraethylammonium bromide,C8H20BrN,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1253,21_C0170,HR Ionic Liquid 2,Benzyltriethylammonium chloride,C13H22ClN,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1257,21_C0171,HR Ionic Liquid 3,2-Hydroxyethylammonium formate,C3H9NO3,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1261,21_C0172,HR Ionic Liquid 4,Ethylammonium nitrate,C2H8N2O3,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1265,21_C0173,HR Ionic Liquid 5,Cholin acetate,C7H17NO3,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1269,21_C0174,HR Ionic Liquid 6,Choline dihydrogen phosphate,C5H16NPO5,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1273,21_C0175,HR Ionic Liquid 7,1-Ethyl-3-methylimidazolium acetate,C8H14N2O2,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1277,21_C0176,HR Ionic Liquid 8,1-Butyl-3-methylimidazolium chloride,C8H15ClN2,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1281,21_C0177,HR Ionic Liquid 9,1-Ethyl-3-methylimidazolium chloride,C6H11ClN2,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1285,21_C0178,HR Ionic Liquid 10,1-Hexyl-3-methylimidazolium chloride,C10H19ClN2,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1289,21_C0179,HR Ionic Liquid 11,1-Butyl-3-methylimidazolium dicyanamide,C10H15N5,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1293,21_C0180,HR Ionic Liquid 12,"1,3-Dimethylimidazolium dimethyl phosphate",C7H15N2O4P,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1441,21_C0181,HR Ionic Liquid 13,"1,3-Dimethylimidazolium methyl sulfate",C6H12N2O4S,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1445,21_C0182,HR Ionic Liquid 14,1-Butyl-3-methylimidazolium methyl sulfate,C9H18N2O4S,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
